country,year,household_credit_mio_eur,y_nominal_mio_eur,exports_mio_eur,imports_mio_eur,debt_ratio_latest,gdp_per_capita_eur,unemployment_rate,y_real,gc_real,gi_nominal_mio_eur,fiscal_T,household_credit_to_gdp,log_hh_credit_to_gdp,liq_raw,trade_raw,debt_raw,log_gdp_pc_raw,unemployment_raw,credit_resid_raw,output_gap_raw,gov_size_raw,gi_share_raw,pb_balance_raw,liq_z,trade_z,debt_z,log_gdp_pc_z,unemployment_z,gov_size_z,gi_share_z,credit_resid_z,output_gap_z,pb_balance_z,liq_z_lag1,credit_resid_z_lag1,trade_z_lag1,debt_z_lag1,log_gdp_pc_z_lag1,output_gap_z_lag1,unemployment_z_lag1,pb_balance_z_lag1,gov_size_z_lag1,gi_share_z_lag1,nominal_gdp_mio_eur,gdp_pc_current_pps,gdp_pc_real_index_2020,hh_currency_deposits_assets_mio_eur,hh_total_financial_assets_mio_eur,hh_total_financial_liabilities_mio_eur,gdp_pc_2020_pps_anchor,real_ppp_gdp_pc_2020pps,log_real_ppp_gdp_pc_raw,hh_currency_deposits_to_gdp,liq_fa_deposits_raw,hh_net_financial_worth_to_gdp,liq_fa_net_worth_raw,tiva2022_cons_import_content_raw,tiva2022_gfcf_import_content_raw,tiva2022_avg_import_content_raw,tiva_cf2024_cons_import_content_raw,tiva_cf2024_gfcf_import_content_raw,tiva_cf2024_avg_import_content_raw,figaro2023_cons_import_content_raw,figaro2023_gfcf_import_content_raw,figaro2023_avg_import_content_raw
AUT,1995,77151.900000000,183629.200000000,61818.800000000,64013.100000000,68.600000000,23100,,240726.700000000,52495.900000000,7211.100000000,0.498609154,0.420150499,-0.867142301,-1.012024231,0.372790000,68.600000000,10.272547352,,,,0.218072611,0.039269898,0.498609154,0.169316842,-0.560650588,0.166277616,0.162422883,,0.653144242,0.072798821,,,,,,,,,,,,,,183629.200000000,19766.300000000,77.376000000,138966.900000000,263150.200000000,77313.000000000,37385.600000000,28927.481856000,10.272547352,0.756779967,0.278682732,1.012024231,-1.012024231,0.212680000,0.372790000,0.292735000,0.212680000,0.372790000,0.292735000,,,
AUT,1996,78603.800000000,185944.900000000,64035.200000000,66998.900000000,68.600000000,23360,,246060.700000000,53062.600000000,6898.300000000,0.513902774,0.422726302,-0.861030349,-1.028773578,0.374570000,68.600000000,10.293115997,,,,0.215648415,0.037098624,0.513902774,0.141022922,-0.542999891,0.166277616,0.216033541,,0.579015000,-0.127692304,,,,0.169316842,,-0.560650588,0.166277616,0.162422883,,,,0.653144242,0.072798821,185944.900000000,20696.500000000,78.984000000,140514.400000000,270034.100000000,78738.900000000,37385.600000000,29528.642304000,10.293115997,0.755677623,0.280140419,1.028773578,-1.028773578,0.223390000,0.374570000,0.298980000,0.223390000,0.374570000,0.298980000,,,
AUT,1997,80310.900000000,186913.000000000,69558.600000000,71083.100000000,63.900000000,23460,,251340.700000000,54446.300000000,5592.500000000,0.500571924,0.429669953,-0.844737915,-1.050216946,0.389790000,63.900000000,10.313220452,,,,0.216623492,0.029920337,0.500571924,0.104799600,-0.392076511,0.037383201,0.268434320,,0.608831763,-0.790521106,,,,0.141022922,,-0.542999891,0.166277616,0.216033541,,,,0.579015000,-0.127692304,186913.000000000,21167.600000000,80.588000000,140906.600000000,276786.200000000,80487.000000000,37385.600000000,30128.307328000,10.313220452,0.753861957,0.282546008,1.050216946,-1.050216946,0.232800000,0.389790000,0.311295000,0.232800000,0.389790000,0.311295000,,,
AUT,1998,83088.100000000,193947.000000000,74789.000000000,75228.000000000,64.300000000,24310,,260119.700000000,56025.000000000,5711.300000000,0.498937854,0.428406214,-0.847683435,-1.079881617,0.390620000,64.300000000,10.346451290,,,,0.215381611,0.029447736,0.498937854,0.054688399,-0.383846130,0.048352939,0.355048051,,0.570856416,-0.834160196,,,,0.104799600,,-0.392076511,0.037383201,0.268434320,,,,0.608831763,-0.790521106,193947.000000000,22074.400000000,83.311000000,145500.100000000,292742.300000000,83302.500000000,37385.600000000,31146.317216000,10.346451290,0.750205469,0.287408152,1.079881617,-1.079881617,0.238780000,0.390620000,0.314700000,0.238780000,0.390620000,0.314700000,,,
AUT,1999,90439.800000000,203064.900000000,80229.600000000,79304.200000000,67.100000000,25410,,269905.200000000,57830.000000000,5853.000000000,0.497796517,0.445373868,-0.808841196,-1.081704421,0.396450000,67.100000000,10.381433747,,,,0.214260414,0.028823297,0.497796517,0.051609219,-0.326035138,0.125141101,0.446227247,,0.536571462,-0.891819595,,,,0.054688399,,-0.383846130,0.048352939,0.355048051,,,,0.570856416,-0.834160196,203064.900000000,22982.200000000,86.277000000,152071.400000000,310344.900000000,90688.700000000,37385.600000000,32255.174112000,10.381433747,0.748880777,0.289175485,1.081704421,-1.081704421,0.238120000,0.396450000,0.317285000,0.238120000,0.396450000,0.317285000,,,
AUT,2000,96091.700000000,212406.800000000,92590.400000000,89745.100000000,66.600000000,26510,,278513.900000000,57938.400000000,5739.200000000,0.490429214,0.452394650,-0.793200360,-1.097493112,0.424450000,66.600000000,10.410426251,,,,0.208026960,0.027019851,0.490429214,0.024938089,-0.048383717,0.111428929,0.521794072,,0.345959287,-1.058346296,,,,0.051609219,,-0.326035138,0.125141101,0.446227247,,,,0.536571462,-0.891819595,212406.800000000,24270.200000000,88.815000000,153603.500000000,329557.700000000,96442.700000000,37385.600000000,33204.020640000,10.410426251,0.723157168,0.324128697,1.097493112,-1.097493112,0.249250000,0.424450000,0.336850000,0.249250000,0.424450000,0.336850000,,,
AUT,2001,99828.500000000,219373.300000000,98392.900000000,94647.400000000,67.200000000,27280,,282181.900000000,57672.600000000,5409.200000000,0.511028006,0.455062216,-0.787321131,-1.083841106,0.424880000,67.200000000,10.419683501,,,,0.204380933,0.024657513,0.511028006,0.047999813,-0.044119785,0.127883535,0.545922411,,0.234467783,-1.276479865,,,,0.024938089,,-0.048383717,0.111428929,0.521794072,,,,0.345959287,-1.058346296,219373.300000000,24465.800000000,89.641000000,157895.400000000,337973.000000000,100207.200000000,37385.600000000,33512.825696000,10.419683501,0.719756689,0.328842056,1.083841106,-1.083841106,0.250740000,0.424880000,0.337810000,0.250740000,0.424880000,0.337810000,,,
AUT,2002,104428.100000000,225087.900000000,102755.000000000,94387.100000000,67.400000000,27850,,286370.500000000,58091.300000000,6113.800000000,0.501865271,0.463943642,-0.767992196,-1.073094556,0.402440000,67.400000000,10.429474659,,,,0.202853646,0.027161833,0.501865271,0.066153479,-0.266637566,0.133368404,0.571442342,,0.187765022,-1.045235901,,,,0.047999813,,-0.044119785,0.127883535,0.545922411,,,,0.234467783,-1.276479865,225087.900000000,25375.800000000,90.523000000,163349.900000000,346450.100000000,104909.500000000,37385.600000000,33842.566688000,10.429474659,0.725716042,0.320596467,1.073094556,-1.073094556,0.246820000,0.402440000,0.324630000,0.246820000,0.402440000,0.324630000,,,
AUT,2003,108063.900000000,230541.900000000,103342.100000000,96957.900000000,66.400000000,28400,,289639.700000000,58672.000000000,5988.600000000,0.499237232,0.468738654,-0.757709906,-1.121131560,0.393320000,66.400000000,10.436366227,,,,0.202568916,0.025976189,0.499237232,-0.014993282,-0.357072600,0.105944060,0.589404706,,0.179058289,-1.154715925,,,,0.066153479,,-0.266637566,0.133368404,0.571442342,,,,0.187765022,-1.045235901,230541.900000000,26256.200000000,91.149000000,171850.900000000,367071.100000000,108603.300000000,37385.600000000,34076.600544000,10.436366227,0.745421548,0.293805384,1.121131560,-1.121131560,0.244980000,0.393320000,0.319150000,0.244980000,0.393320000,0.319150000,,,
AUT,2004,115185.400000000,240541.700000000,113581.900000000,106451.800000000,65.900000000,29440,,297069.700000000,59556.300000000,6022.200000000,0.493751395,0.478858343,-0.736350459,-1.140904883,0.400070000,65.900000000,10.455405107,,,,0.200479214,0.025035992,0.493751395,-0.048395470,-0.290138776,0.092231889,0.639028143,,0.115157509,-1.241531895,,,,-0.014993282,,-0.357072600,0.105944060,0.589404706,,,,0.179058289,-1.154715925,240541.700000000,27399.500000000,92.901000000,175946.600000000,390141.300000000,115706.100000000,37385.600000000,34731.596256000,10.455405107,0.731459867,0.312712923,1.140904883,-1.140904883,0.246110000,0.400070000,0.323090000,0.246110000,0.400070000,0.323090000,,,
