year,gross_debt_ratio,change_in_ratio,primary_balance,structural_primary_balance,structural_primary_balance_before_ageing,cyclical_component,interest_expenditure,growth_effect_real,inflation_effect,stock_flow_adjustments,gross_financing_needs,structural_balance
2024,55.08902359008789,5.568515777587891,-4.269382953643799,-3.7837324142456055,-3.7837324142456055,-0.41448456048965454,2.2056796550750732,-1.401926040649414,-1.8261921405792236,2.3526833057403564,14.79306411743164,-6.0
2025,59.51612854003906,4.427104949951172,-4.325899124145508,-4.005646705627441,-4.005646705627441,-0.2383500337600708,2.459505558013916,-1.664921760559082,-1.9116699695587158,1.2313374280929565,14.047560691833496,-6.5
2026,64.90138244628906,5.38525390625,-3.591127634048462,-3.62138295173645,-3.62138295173645,0.030255237594246864,2.70086932182312,-1.9325562715530396,-1.7658555507659912,2.793527126312256,15.336433410644531,-6.3
2027,69.67215728759766,4.770774841308594,-3.824702739715576,-3.938603639602661,-3.62138295173645,0.11390092968940735,2.8149948120117188,-1.8091374635696411,-1.964654803276062,1.9048641920089722,15.280158042907715,-6.8
2028,73.19452667236328,3.522369384765625,-3.879892110824585,-3.955825090408325,-3.62138295173645,0.07593299448490143,3.2261266708374023,-1.4992886781692505,-2.0843605995178223,0.0,14.30672550201416,-7.2
2029,77.04766845703125,3.8531417846679688,-3.9477357864379883,-3.9730465412139893,-3.62138295173645,0.025310814380645752,3.5444986820220947,-1.4753347635269165,-2.163757801055908,0.0,14.984017372131348,-7.5
2030,81.12287902832031,4.0752105712890625,-3.9902679920196533,-3.9902679920196533,-3.62138295173645,0.0,3.8753159046173096,-1.5400840044021606,-2.2502951622009277,0.0,15.664624214172363,-7.9
2031,85.14363861083984,4.020759582519531,-3.907489061355591,-3.907489061355591,-3.62138295173645,0.0,4.211235046386719,-1.7574869394302368,-2.3404810428619385,0.0,16.222505569458008,-8.1
2032,89.33782958984375,4.194190979003906,-4.024710655212402,-4.0247108936309814,-3.62138295173645,0.0,4.547342777252197,-1.9516602754592896,-2.4261958599090576,0.0,16.968164443969727,-8.6
2033,93.42025756835938,4.082427978515625,-3.8419315814971924,-3.8419315814971924,-3.62138295173645,0.0,4.897385597229004,-2.1429824829101562,-2.513906955718994,0.0,17.43613052368164,-8.7
2034,97.61768341064453,4.197425842285156,-3.8591530323028564,-3.8591530323028564,-3.62138295173645,0.0,5.245519161224365,-2.3117470741271973,-2.5955023765563965,0.0,18.083736419677734,-9.1
2035,101.9944839477539,4.376800537109375,-3.8763744831085205,-3.8763745427131653,-3.62138295173645,0.0,5.608460903167725,-2.430720090866089,-2.6773183345794678,0.0,18.752859115600586,-9.5
2036,106.79410552978516,4.79962158203125,-3.8935961723327637,-3.893596053123474,-3.62138295173645,0.0,5.961193084716797,-2.2732489109039307,-2.7819201946258545,0.0,19.567935943603516,-9.9
