freq,int_rt,geo,time,value,status,dataset,dataset_label,dataset_updated,source_url,downloaded_at_utc
A,IRT_M3,AT,1995,4.51584,,irt_h_mr3_a,3-month rates for euro area countries - annual data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_a?format=JSON&lang=en,2026-04-25T05:36:41.195075+00:00
A,IRT_M3,AT,1996,3.33645,,irt_h_mr3_a,3-month rates for euro area countries - annual data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_a?format=JSON&lang=en,2026-04-25T05:36:41.195081+00:00
A,IRT_M3,AT,1997,3.51542,,irt_h_mr3_a,3-month rates for euro area countries - annual data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_a?format=JSON&lang=en,2026-04-25T05:36:41.195087+00:00
A,IRT_M3,AT,1998,3.58364,d,irt_h_mr3_a,3-month rates for euro area countries - annual data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_a?format=JSON&lang=en,2026-04-25T05:36:41.195092+00:00
A,IRT_M3,BE,1995,4.68838,,irt_h_mr3_a,3-month rates for euro area countries - annual data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_a?format=JSON&lang=en,2026-04-25T05:36:41.195251+00:00
A,IRT_M3,BE,1996,3.17751,,irt_h_mr3_a,3-month rates for euro area countries - annual data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_a?format=JSON&lang=en,2026-04-25T05:36:41.195257+00:00
A,IRT_M3,BE,1997,3.44564,,irt_h_mr3_a,3-month rates for euro area countries - annual data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_a?format=JSON&lang=en,2026-04-25T05:36:41.195263+00:00
A,IRT_M3,BE,1998,3.54268,d,irt_h_mr3_a,3-month rates for euro area countries - annual data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_a?format=JSON&lang=en,2026-04-25T05:36:41.195269+00:00
A,IRT_M3,CY,1999,6.24948,,irt_h_mr3_a,3-month rates for euro area countries - annual data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_a?format=JSON&lang=en,2026-04-25T05:36:41.195275+00:00
A,IRT_M3,CY,2000,6.43604,,irt_h_mr3_a,3-month rates for euro area countries - annual data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_a?format=JSON&lang=en,2026-04-25T05:36:41.195281+00:00
A,IRT_M3,CY,2001,5.9257,,irt_h_mr3_a,3-month rates for euro area countries - annual data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_a?format=JSON&lang=en,2026-04-25T05:36:41.195287+00:00
A,IRT_M3,CY,2002,4.40318,,irt_h_mr3_a,3-month rates for euro area countries - annual data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_a?format=JSON&lang=en,2026-04-25T05:36:41.195292+00:00
A,IRT_M3,CY,2003,3.90014,,irt_h_mr3_a,3-month rates for euro area countries - annual data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_a?format=JSON&lang=en,2026-04-25T05:36:41.195298+00:00
A,IRT_M3,CY,2004,4.74169,,irt_h_mr3_a,3-month rates for euro area countries - annual data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_a?format=JSON&lang=en,2026-04-25T05:36:41.195303+00:00
A,IRT_M3,CY,2005,4.24975,,irt_h_mr3_a,3-month rates for euro area countries - annual data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_a?format=JSON&lang=en,2026-04-25T05:36:41.195309+00:00
