freq,int_rt,geo,time,value,status,dataset,dataset_label,dataset_updated,source_url,downloaded_at_utc
M,IRT_M3,AT,1995-01,5.01,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.914917+00:00
M,IRT_M3,AT,1995-02,5.01,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.914923+00:00
M,IRT_M3,AT,1995-03,4.9,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.914928+00:00
M,IRT_M3,AT,1995-04,4.73,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.914934+00:00
M,IRT_M3,AT,1995-05,4.6,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.914941+00:00
M,IRT_M3,AT,1995-06,4.55,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.914946+00:00
M,IRT_M3,AT,1995-07,4.55,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.914951+00:00
M,IRT_M3,AT,1995-08,4.36,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.914957+00:00
M,IRT_M3,AT,1995-09,4.03,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.914962+00:00
M,IRT_M3,AT,1995-10,4.35,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.914967+00:00
M,IRT_M3,AT,1995-11,4.2,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.914973+00:00
M,IRT_M3,AT,1995-12,3.93,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.914978+00:00
M,IRT_M3,AT,1996-01,3.5,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.914984+00:00
M,IRT_M3,AT,1996-02,3.3,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.914989+00:00
M,IRT_M3,AT,1996-03,3.35,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.914996+00:00
M,IRT_M3,AT,1996-04,3.1,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915001+00:00
M,IRT_M3,AT,1996-05,3.23,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915007+00:00
M,IRT_M3,AT,1996-06,3.4,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915012+00:00
M,IRT_M3,AT,1996-07,3.46,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915017+00:00
M,IRT_M3,AT,1996-08,3.35,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915022+00:00
M,IRT_M3,AT,1996-09,3.34,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915028+00:00
M,IRT_M3,AT,1996-10,3.3,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915034+00:00
M,IRT_M3,AT,1996-11,3.35,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915040+00:00
M,IRT_M3,AT,1996-12,3.35,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915046+00:00
M,IRT_M3,AT,1997-01,3.3,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915057+00:00
M,IRT_M3,AT,1997-02,3.3,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915063+00:00
M,IRT_M3,AT,1997-03,3.4,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915068+00:00
M,IRT_M3,AT,1997-04,3.44,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915074+00:00
M,IRT_M3,AT,1997-05,3.4,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915080+00:00
M,IRT_M3,AT,1997-06,3.4,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915085+00:00
M,IRT_M3,AT,1997-07,3.42,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915090+00:00
M,IRT_M3,AT,1997-08,3.45,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915096+00:00
M,IRT_M3,AT,1997-09,3.55,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915101+00:00
M,IRT_M3,AT,1997-10,3.85,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915106+00:00
M,IRT_M3,AT,1997-11,3.85,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915112+00:00
M,IRT_M3,AT,1997-12,3.81,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915117+00:00
M,IRT_M3,AT,1998-01,3.65,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915123+00:00
M,IRT_M3,AT,1998-02,3.6,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915128+00:00
M,IRT_M3,AT,1998-03,3.6,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915133+00:00
M,IRT_M3,AT,1998-04,3.65,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915138+00:00
M,IRT_M3,AT,1998-05,3.69,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915144+00:00
M,IRT_M3,AT,1998-06,3.63,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915149+00:00
M,IRT_M3,AT,1998-07,3.6,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915155+00:00
M,IRT_M3,AT,1998-08,3.58,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915160+00:00
M,IRT_M3,AT,1998-09,3.6,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915165+00:00
M,IRT_M3,AT,1998-10,3.56,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915171+00:00
M,IRT_M3,AT,1998-11,3.6,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915176+00:00
M,IRT_M3,AT,1998-12,3.25,d,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.915182+00:00
M,IRT_M3,BE,1995-01,5.44,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.916701+00:00
M,IRT_M3,BE,1995-02,5.75,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.916704+00:00
M,IRT_M3,BE,1995-03,5.64,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.916706+00:00
M,IRT_M3,BE,1995-04,5.31,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.916708+00:00
M,IRT_M3,BE,1995-05,4.83,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.916711+00:00
M,IRT_M3,BE,1995-06,4.65,,irt_h_mr3_m,3-month rates for euro area countries - monthly data,2023-12-21T23:00:00+0100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/irt_h_mr3_m?format=JSON&lang=en,2026-04-25T05:36:41.916714+00:00
