spec_version,year,baseline_reproduced_D_Y_pp,source_D_Y_pp,abs_diff_pp
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,2024,55.089023590,55.089023590,0.000000000
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,2025,59.529173869,59.516128540,0.013045329
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,2026,64.916067471,64.901382446,0.014685025
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,2027,69.686620134,69.672157288,0.014462846
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,2028,73.208915421,73.194526672,0.014388748
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,2029,77.062038767,77.047668457,0.014370310
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,2030,81.137259331,81.122879028,0.014380303
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,2031,85.158035706,85.143638611,0.014397095
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,2032,89.352261792,89.337829590,0.014432203
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,2033,93.434728311,93.420257568,0.014470742
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,2034,97.632203408,97.617683411,0.014519997
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,2035,102.009074821,101.994483948,0.014590873
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,2036,106.808824464,106.794105530,0.014718934
