spec_version,spec_id,features,profile_label,horizon,direct_DY_initial_action,se_direct_DY_initial_action,status_DY_initial,nobs,country_n,year_min_effective,year_max_effective,rank_X,z_trade,z_liq
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,poland_2024,0,-1.579392519,0.593777191,OK,531,27,2004,2023,8,-0.161130026,
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,poland_2024,1,-2.512160870,0.869153565,OK,531,27,2004,2023,8,-0.161130026,
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,poland_2024,2,-2.252853910,1.234820813,OK,506,27,2004,2022,8,-0.161130026,
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,poland_2024,3,-1.464125731,1.442687816,OK,481,27,2004,2021,8,-0.161130026,
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,poland_2024,4,0.478767890,1.054009294,OK,456,27,2004,2020,8,-0.161130026,
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,poland_2024,5,1.330591847,1.166787143,OK,431,27,2004,2019,8,-0.161130026,
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,poland_2024,6,-0.550801009,1.212466960,OK,405,27,2004,2018,8,-0.161130026,
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,poland_2024,7,-0.370879722,1.336165502,OK,378,27,2004,2017,8,-0.161130026,
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,poland_2024,8,-0.807901225,0.988297915,OK,351,27,2004,2016,8,-0.161130026,
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,poland_2024,0,-1.403954914,0.668558278,OK,531,27,2004,2023,8,,0.768793658
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,poland_2024,1,-2.441562792,0.931474600,OK,531,27,2004,2023,8,,0.768793658
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,poland_2024,2,-2.271027438,1.140025373,OK,506,27,2004,2022,8,,0.768793658
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,poland_2024,3,-1.772438466,1.357160394,OK,481,27,2004,2021,8,,0.768793658
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,poland_2024,4,-0.394468175,0.988440267,OK,456,27,2004,2020,8,,0.768793658
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,poland_2024,5,-0.021217229,0.822362508,OK,431,27,2004,2019,8,,0.768793658
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,poland_2024,6,-1.257200047,0.760577592,OK,405,27,2004,2018,8,,0.768793658
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,poland_2024,7,-1.182747881,0.883107491,OK,378,27,2004,2017,8,,0.768793658
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,poland_2024,8,-1.869371579,0.918367620,OK,351,27,2004,2016,8,,0.768793658
