spec_version,spec_id,features,scenario,scenario_sign,year,horizon_from_2028,Y_shortfall_pct,direct_discretionary_PB_level_pp,delta_cyclical_PB_pp,baseline_PB_pp,PB_new_pp,nominal_gdp_growth_new_pct,baseline_D_Y_pp,D_Y_new_pp,dsa_margin_vs_baseline_pp,direct_DY_LP_margin_initial_action_pp
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_cut_2028_2030,cut,2024,-4,0.000000000,0.000000000,0.000000000,-4.269382954,-4.269382954,,55.089023590,55.089023590,0.000000000,0.000000000
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_cut_2028_2030,cut,2025,-3,0.000000000,0.000000000,0.000000000,-4.325899124,-4.325899124,6.943162277,59.516128540,59.516128540,0.000000000,0.000000000
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_cut_2028_2030,cut,2026,-2,0.000000000,0.000000000,0.000000000,-3.591127634,-3.591127634,6.625874451,64.901382446,64.901382446,0.000000000,0.000000000
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_cut_2028_2030,cut,2027,-1,0.000000000,0.000000000,0.000000000,-3.824702740,-3.824702740,6.173631620,69.672157288,69.672157288,0.000000000,0.000000000
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_cut_2028_2030,cut,2028,0,1.387360247,1.000000000,-0.665932918,-3.879892111,-3.545825029,3.959910164,73.194526672,73.835632556,0.641105884,1.579392519
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_cut_2028_2030,cut,2029,1,3.693095117,2.014543660,-1.772685656,-3.947735786,-3.705877782,2.771425809,77.047668457,79.211541573,2.163873116,4.091553389
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_cut_2028_2030,cut,2030,2,5.990435247,2.845923120,-2.875408919,-3.990267992,-4.019753790,2.665203483,81.122879028,85.256467816,4.133588788,6.344407299
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_cut_2028_2030,cut,2031,3,6.451742826,2.529563282,-3.096836557,-3.907489061,-4.474762336,4.803505170,85.143638611,90.271274782,5.127636171,6.229140512
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_cut_2028_2030,cut,2032,4,5.576465365,2.125880954,-2.676703375,-4.024710655,-4.575533076,6.406792729,89.337829590,94.188048712,4.850219122,3.238211752
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_cut_2028_2030,cut,2033,5,4.500436941,1.894178310,-2.160209732,-3.841931581,-4.107963003,6.701581585,93.420257568,97.485456531,4.065198963,-0.345234006
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_cut_2028_2030,cut,2034,6,3.949203751,1.791964723,-1.895617800,-3.859153032,-3.962806110,6.153310891,97.617683411,101.239759704,3.622076294,-1.258558728
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_cut_2028_2030,cut,2035,7,4.014300700,1.799659057,-1.926864336,-3.876374483,-4.003579762,5.450112118,101.994483948,105.831342194,3.836858247,-0.408911117
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_cut_2028_2030,cut,2036,8,4.631255007,1.894011588,-2.223002403,-3.893596172,-4.222586987,4.538502170,106.794105530,111.684756171,4.890650642,1.729581956
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_expansion_2028_2030,expansion,2024,-4,0.000000000,0.000000000,0.000000000,-4.269382954,-4.269382954,,55.089023590,55.089023590,0.000000000,0.000000000
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_expansion_2028_2030,expansion,2025,-3,0.000000000,0.000000000,0.000000000,-4.325899124,-4.325899124,6.943162277,59.516128540,59.516128540,0.000000000,0.000000000
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_expansion_2028_2030,expansion,2026,-2,0.000000000,0.000000000,0.000000000,-3.591127634,-3.591127634,6.625874451,64.901382446,64.901382446,0.000000000,0.000000000
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_expansion_2028_2030,expansion,2027,-1,0.000000000,0.000000000,0.000000000,-3.824702740,-3.824702740,6.173631620,69.672157288,69.672157288,0.000000000,0.000000000
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_expansion_2028_2030,expansion,2028,0,-1.387360247,-1.000000000,0.665932918,-3.879892111,-4.213959192,6.885089876,73.194526672,72.580109086,-0.614417586,-1.579392519
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_expansion_2028_2030,expansion,2029,1,-3.693095117,-2.014543660,1.772685656,-3.947735786,-4.189593791,7.625098693,77.047668457,75.064086878,-1.983581579,-4.091553389
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_expansion_2028_2030,expansion,2030,2,-5.990435247,-2.845923120,2.875408919,-3.990267992,-3.960782194,7.504215349,81.122879028,77.478813238,-3.644065790,-6.344407299
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_expansion_2028_2030,expansion,2031,3,-6.451742826,-2.529563282,3.096836557,-3.907489061,-3.340215787,5.778705898,85.143638611,80.590985792,-4.552652819,-6.229140512
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_expansion_2028_2030,expansion,2032,4,-5.576465365,-2.125880954,2.676703375,-4.024710655,-3.473888234,4.553636370,89.337829590,84.894764630,-4.443064960,-3.238211752
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_expansion_2028_2030,expansion,2033,5,-4.500436941,-1.894178310,2.160209732,-3.841931581,-3.575900160,4.424093604,93.420257568,89.575704589,-3.844552980,0.345234006
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_expansion_2028_2030,expansion,2034,6,-3.949203751,-1.791964723,1.895617800,-3.859153032,-3.755499954,4.987361171,97.617683411,94.132285114,-3.485398297,1.258558728
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_expansion_2028_2030,expansion,2035,7,-4.014300700,-1.799659057,1.926864336,-3.876374483,-3.749169204,5.587709439,101.994483948,98.304795106,-3.689688842,0.408911117
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F01,trade,three_1pp_expansion_2028_2030,expansion,2036,8,-4.631255007,-1.894011588,2.223002403,-3.893596172,-3.564605357,5.838851828,106.794105530,102.157848922,-4.636256608,-1.729581956
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_cut_2028_2030,cut,2024,-4,0.000000000,0.000000000,0.000000000,-4.269382954,-4.269382954,,55.089023590,55.089023590,0.000000000,0.000000000
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_cut_2028_2030,cut,2025,-3,0.000000000,0.000000000,0.000000000,-4.325899124,-4.325899124,6.943162277,59.516128540,59.516128540,0.000000000,0.000000000
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_cut_2028_2030,cut,2026,-2,0.000000000,0.000000000,0.000000000,-3.591127634,-3.591127634,6.625874451,64.901382446,64.901382446,0.000000000,0.000000000
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_cut_2028_2030,cut,2027,-1,0.000000000,0.000000000,0.000000000,-3.824702740,-3.824702740,6.173631620,69.672157288,69.672157288,0.000000000,0.000000000
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_cut_2028_2030,cut,2028,0,1.194279266,1.000000000,-0.573254048,-3.879892111,-3.453146159,4.163460961,73.194526672,73.605597013,0.411070341,1.403954914
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_cut_2028_2030,cut,2029,1,3.560135659,2.054161722,-1.708865116,-3.947735786,-3.602439181,2.712202242,77.047668457,78.916265148,1.868596690,3.845517706
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_cut_2028_2030,cut,2030,2,6.022269485,2.894803306,-2.890689353,-3.990267992,-3.986154038,2.488943945,81.122879028,85.059231767,3.936352739,6.116545144
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_cut_2028_2030,cut,2031,3,6.757108685,2.597225456,-3.243412169,-3.907489061,-4.553675774,4.496784752,85.143638611,90.402951329,5.259312718,6.485028696
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_cut_2028_2030,cut,2032,4,5.957881643,2.218659442,-2.859783189,-4.024710655,-4.665834401,6.324040384,89.337829590,94.478913115,5.141083525,4.437934079
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_cut_2028_2030,cut,2033,5,5.109458568,2.056280658,-2.452540113,-3.841931581,-4.238191036,6.451122986,93.420257568,98.124423245,4.704165677,2.188123870
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_cut_2028_2030,cut,2034,6,4.809499678,2.032224549,-2.308559845,-3.859153032,-4.135488329,5.877735514,97.617683411,102.304891055,4.687207645,1.672885451
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_cut_2028_2030,cut,2035,7,5.016668712,2.056292057,-2.408000982,-3.876374483,-4.228083408,5.291974464,101.994483948,107.281707271,5.287223324,2.461165156
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_cut_2028_2030,cut,2036,8,5.560901507,2.124036921,-2.669232724,-3.893596172,-4.438791975,4.611920329,106.794105530,113.297223818,6.503118288,4.309319506
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_expansion_2028_2030,expansion,2024,-4,0.000000000,0.000000000,0.000000000,-4.269382954,-4.269382954,,55.089023590,55.089023590,0.000000000,0.000000000
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_expansion_2028_2030,expansion,2025,-3,0.000000000,0.000000000,0.000000000,-4.325899124,-4.325899124,6.943162277,59.516128540,59.516128540,0.000000000,0.000000000
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_expansion_2028_2030,expansion,2026,-2,0.000000000,0.000000000,0.000000000,-3.591127634,-3.591127634,6.625874451,64.901382446,64.901382446,0.000000000,0.000000000
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_expansion_2028_2030,expansion,2027,-1,0.000000000,0.000000000,0.000000000,-3.824702740,-3.824702740,6.173631620,69.672157288,69.672157288,0.000000000,0.000000000
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_expansion_2028_2030,expansion,2028,0,-1.194279266,-1.000000000,0.573254048,-3.879892111,-4.306638063,6.681539080,73.194526672,72.803232122,-0.391294550,-1.403954914
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_expansion_2028_2030,expansion,2029,1,-3.560135659,-2.054161722,1.708865116,-3.947735786,-4.293032392,7.692185283,77.047668457,75.341118351,-1.706550106,-3.845517706
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_expansion_2028_2030,expansion,2030,2,-6.022269485,-2.894803306,2.890689353,-3.990267992,-3.994381946,7.674568914,81.122879028,77.666995333,-3.455883696,-6.116545144
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_expansion_2028_2030,expansion,2031,3,-6.757108685,-2.597225456,3.243412169,-3.907489061,-3.261302349,6.050288879,85.143638611,80.501389457,-4.642249153,-6.485028696
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_expansion_2028_2030,expansion,2032,4,-5.957881643,-2.218659442,2.859783189,-4.024710655,-3.383586909,4.631213954,89.337829590,84.653642908,-4.684186682,-4.437934079
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_expansion_2028_2030,expansion,2033,5,-5.109458568,-2.056280658,2.452540113,-3.841931581,-3.445672127,4.654584511,93.420257568,89.012348530,-4.407909038,-2.188123870
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_expansion_2028_2030,expansion,2034,6,-4.809499678,-2.032224549,2.308559845,-3.859153032,-3.582817736,5.242900356,97.617683411,93.173145898,-4.444537513,-1.672885451
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_expansion_2028_2030,expansion,2035,7,-5.016668712,-2.056292057,2.408000982,-3.876374483,-3.524665558,5.730204422,101.994483948,96.990702425,-5.003781523,-2.461165156
mozdzen_tiva2022_gfcf_realppp_networth_debt_20260513,F03,liq,three_1pp_expansion_2028_2030,expansion,2036,8,-5.560901507,-2.124036921,2.669232724,-3.893596172,-3.348400370,5.760036432,106.794105530,100.696187734,-6.097917796,-4.309319506
