spec_id,features,spec_version,model_id,profile_label,excluded_country,horizon,mu_Y_incremental,se_Y_incremental,mu_G_incremental,se_G_incremental,beta_scale_action,se_beta_scale_action,action_denom_t,nobs,country_n,year_min_effective,year_max_effective,rank_X,status_Y,status_G,z_trade,K_Y_cumulative,K_G_cumulative,ci95_low_K_Y_cumulative_naive,ci95_high_K_Y_cumulative_naive,z_debt,z_liq,z_log_gdp_pc
F01,trade,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F01,poland_2024,,8,0.342711654,0.090884734,0.075473678,0.037947363,0.042655059,0.001053168,40.501658888,351,27,2004,2016,8,OK,OK,-0.161130026,1.838266012,0.694029346,0.468366416,3.208165609,,,
F02,debt,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F02,poland_2024,,8,0.242493419,0.151834865,0.045873479,0.031194787,0.043809020,0.000302628,144.761848619,351,27,2004,2016,8,OK,OK,,1.544699121,0.723670045,0.054141573,3.035256669,-0.376724387,,
F03,liq,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F03,poland_2024,,8,0.384145160,0.070902446,0.046344447,0.036340339,0.044515997,0.000608381,73.171260868,351,27,2004,2016,8,OK,OK,,2.157943546,0.746007664,0.715981870,3.599905222,,0.768793658,
F04,log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F04,poland_2024,,8,-0.003234328,0.170932953,0.123778316,0.058449674,0.041558474,0.001313993,31.627633214,351,27,2004,2016,8,OK,OK,,0.659698334,0.691000961,-1.146396045,2.465792713,,,-0.067980512
F05,trade+debt,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F05,poland_2024,,8,0.411293896,0.081111112,0.024923947,0.024788836,0.044357711,0.000263249,168.501150176,351,27,2004,2016,10,OK,OK,-0.161130026,1.100001081,0.638838009,-0.431293027,2.631295188,-0.376724387,,
F06,trade+liq,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F06,poland_2024,,8,0.439668113,0.070848911,0.048622957,0.037124511,0.044327779,0.000752595,58.899936284,351,27,2004,2016,10,OK,OK,-0.161130026,1.874745752,0.700918447,0.450515160,3.298976344,,0.768793658,
F07,trade+log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F07,poland_2024,,8,0.107986522,0.137974152,0.115922811,0.057853098,0.041476961,0.001706081,24.311255552,351,27,2004,2016,10,OK,OK,-0.161130026,0.332905790,0.623508630,-1.275817271,1.941628851,,,-0.067980512
F08,debt+liq,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F08,poland_2024,,8,0.333168892,0.094023088,0.023980753,0.026078025,0.045156690,0.000645874,69.915684562,351,27,2004,2016,10,OK,OK,,1.485229029,0.703783261,-0.063107808,3.033565866,-0.376724387,0.768793658,
F09,debt+log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F09,poland_2024,,8,0.094567754,0.141909440,0.095393878,0.046447249,0.042987581,0.000538896,79.769754904,351,27,2004,2016,10,OK,OK,,0.655700874,0.734615859,-1.222262757,2.533664505,-0.376724387,,-0.067980512
F10,liq+log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F10,poland_2024,,8,0.119732877,0.120134030,0.094980033,0.051819266,0.043736085,0.001190000,36.752999379,351,27,2004,2016,10,OK,OK,,0.089143081,0.661320481,-2.042241422,2.220527583,,0.768793658,-0.067980512
F11,trade+debt+liq,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F11,poland_2024,,8,0.433517835,0.063433228,0.014757389,0.027611064,0.045301597,0.000487900,92.850085413,351,27,2004,2016,12,OK,OK,-0.161130026,1.101102788,0.643540403,-0.435825661,2.638031237,-0.376724387,0.768793658,
F12,trade+debt+log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F12,poland_2024,,8,0.267446317,0.125375610,0.067315188,0.041072913,0.043628872,0.000810312,53.842037980,351,27,2004,2016,12,OK,OK,-0.161130026,0.113446985,0.642075424,-1.698412494,1.925306465,-0.376724387,,-0.067980512
F13,trade+liq+log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F13,poland_2024,,8,0.190815935,0.103811378,0.091438059,0.053637509,0.043507323,0.001532250,28.394397801,351,27,2004,2016,12,OK,OK,-0.161130026,0.050441772,0.630595749,-1.856471658,1.957355202,,0.768793658,-0.067980512
F14,debt+liq+log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F14,poland_2024,,8,0.185057419,0.127744363,0.079256953,0.034928846,0.044594577,0.000365214,122.105346689,351,27,2004,2016,12,OK,OK,,0.247206948,0.708696869,-1.882956863,2.377370758,-0.376724387,0.768793658,-0.067980512
F15,trade+debt+liq+log_gdp_pc,mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,F15,poland_2024,,8,0.292337658,0.135115348,0.059942677,0.034294234,0.044844976,0.000494195,90.743552640,351,27,2004,2016,14,OK,OK,-0.161130026,-0.048862906,0.649522210,-2.041075939,1.943350127,-0.376724387,0.768793658,-0.067980512
