spec_id,features,excluded_country,status,K_Y_h8,K_G_h8
F01,trade,AUT,OK,1.844965194,0.693865896
F01,trade,BEL,OK,1.884426565,0.697152688
F01,trade,BGR,OK,1.983999039,0.694210185
F01,trade,CYP,OK,1.696002839,0.677131165
F01,trade,CZE,OK,2.080286325,0.704205474
F01,trade,DEU,OK,1.884558976,0.694070361
F01,trade,DNK,OK,1.890569478,0.698354143
F01,trade,ESP,OK,1.672140757,0.691286803
F01,trade,EST,OK,1.829151953,0.707779963
F01,trade,FIN,OK,1.900090975,0.702918922
F01,trade,FRA,OK,1.896937394,0.698243000
F01,trade,GRC,OK,1.640532553,0.676625494
F01,trade,HRV,OK,1.730152072,0.665079265
F01,trade,HUN,OK,1.736176861,0.668307678
F01,trade,IRL,OK,1.852946119,0.688456137
F01,trade,ITA,OK,1.760223723,0.678990718
F01,trade,LTU,OK,1.847511908,0.728160461
F01,trade,LUX,OK,1.888682074,0.691441654
F01,trade,LVA,OK,1.710894513,0.678597982
F01,trade,MLT,OK,1.848615255,0.701999452
F01,trade,NLD,OK,1.828386801,0.689175530
F01,trade,POL,OK,1.837342261,0.698875702
F01,trade,PRT,OK,1.786227081,0.685851999
F01,trade,ROU,OK,1.904537322,0.709206773
F01,trade,SVK,OK,1.938899750,0.724466810
F01,trade,SVN,OK,1.929276472,0.694246328
F01,trade,SWE,OK,1.845175464,0.692962656
F02,debt,AUT,OK,1.549088802,0.723392315
F02,debt,BEL,OK,1.572585320,0.725519686
F02,debt,BGR,OK,1.715093620,0.713437016
F02,debt,CYP,OK,1.452180170,0.713942159
F02,debt,CZE,OK,1.709182858,0.724916060
F02,debt,DEU,OK,1.568601257,0.724174200
F02,debt,DNK,OK,1.590079197,0.725394999
F02,debt,ESP,OK,1.474952733,0.726200683
F02,debt,EST,OK,1.492796615,0.744666619
F02,debt,FIN,OK,1.575057351,0.728395679
F02,debt,FRA,OK,1.556314711,0.725176560
F02,debt,GRC,OK,1.655546174,0.744723594
F02,debt,HRV,OK,1.447849085,0.699436538
F02,debt,HUN,OK,1.554307475,0.693679821
F02,debt,IRL,OK,1.680708847,0.721028854
F02,debt,ITA,OK,1.525218865,0.720064630
F02,debt,LTU,OK,1.420374079,0.750717540
F02,debt,LUX,OK,1.807286476,0.722670715
