spec_id,features,loo_ok_count,loo_all_finite_ok,K_Y_h8_p05,K_Y_h8_p50,K_Y_h8_p95,K_G_h8_p05,K_G_h8_p50,K_G_h8_p95
F01,trade,27,True,1.679299382,1.847511908,1.970469252,0.670803023,0.694070361,0.719888799
F02,debt,27,True,1.369458783,1.553222042,1.713320392,0.695406836,0.724174200,0.748919356
F03,liq,27,True,1.958393693,2.166076793,2.380409751,0.708977156,0.744748603,0.777109889
F04,log_gdp_pc,27,True,0.517643609,0.641469390,0.788909103,0.672951672,0.689496381,0.722194481
F05,trade+debt,27,True,0.988091041,1.112469411,1.288102635,0.612092855,0.638340667,0.673037524
F06,trade+liq,27,True,1.717380718,1.871380786,2.008578582,0.664536840,0.698693709,0.740395585
F07,trade+log_gdp_pc,27,True,0.172770664,0.329333249,0.524743697,0.606770183,0.622461703,0.645640494
F08,debt+liq,27,True,1.335374637,1.480489648,1.726522669,0.668211308,0.703898290,0.736735650
F09,debt+log_gdp_pc,27,True,0.578051495,0.647160467,0.780035280,0.717362855,0.733915226,0.763956806
F10,liq+log_gdp_pc,27,True,-0.021422093,0.086149308,0.233632156,0.630138546,0.659004539,0.696890109
F11,trade+debt+liq,27,True,0.958698645,1.099974253,1.290570930,0.613180461,0.641624004,0.684649375
F12,trade+debt+log_gdp_pc,27,True,-0.006278283,0.113568067,0.305486885,0.617607797,0.640287191,0.671497590
F13,trade+liq+log_gdp_pc,27,True,-0.074056839,0.041586348,0.222628758,0.603266590,0.629089859,0.668504537
F14,debt+liq+log_gdp_pc,27,True,0.121618038,0.232582863,0.661304644,0.678793229,0.707413521,0.741335362
F15,trade+debt+liq+log_gdp_pc,27,True,-0.216490649,-0.072301324,0.346092050,0.620088904,0.645933020,0.687862632
