features,horizon,status,nobs,wald_y_h8,p_wald_y_h8,spec_id,feature_count,p_wald_y_h8_bonferroni,q_wald_y_h8_bh,raw_p_rank,raw_p_pass_unadjusted
trade,8,OK,351,8.390818706,0.003771210,F01,1,0.056568151,0.056568151,1.000000000,True
debt,8,OK,351,2.419546172,0.119829641,F02,1,1.000000000,0.599148207,3.000000000,False
liq,8,OK,351,6.163208457,0.013043441,F03,1,0.195651611,0.097825805,2.000000000,True
log_gdp_pc,8,OK,351,0.537916499,0.463297482,F04,1,1.000000000,0.975770928,4.000000000,False
trade+debt,8,OK,351,0.221163113,0.895313308,F05,2,1.000000000,0.975770928,10.000000000,False
trade+liq,8,OK,351,0.724165302,0.696224822,F06,2,1.000000000,0.975770928,8.000000000,False
trade+log_gdp_pc,8,OK,351,0.783549323,0.675856393,F07,2,1.000000000,0.975770928,6.000000000,False
debt+liq,8,OK,351,0.434589144,0.804692894,F08,2,1.000000000,0.975770928,9.000000000,False
debt+log_gdp_pc,8,OK,351,0.213311720,0.898834945,F09,2,1.000000000,0.975770928,11.000000000,False
liq+log_gdp_pc,8,OK,351,0.196802651,0.906285115,F10,2,1.000000000,0.975770928,12.000000000,False
trade+debt+liq,8,OK,351,0.315801574,0.957029747,F11,3,1.000000000,0.975770928,13.000000000,False
trade+debt+log_gdp_pc,8,OK,351,1.603687586,0.658553974,F12,3,1.000000000,0.975770928,5.000000000,False
trade+liq+log_gdp_pc,8,OK,351,1.464710209,0.690438814,F13,3,1.000000000,0.975770928,7.000000000,False
debt+liq+log_gdp_pc,8,OK,351,0.263772245,0.966691430,F14,3,1.000000000,0.975770928,14.000000000,False
trade+debt+liq+log_gdp_pc,8,OK,351,0.476255864,0.975770928,F15,4,1.000000000,0.975770928,15.000000000,False
