features,horizon,status,nobs,wald_y_h8,p_wald_y_h8,spec_id,feature_count
trade,8,OK,351,8.390818706,0.003771210,F01,1
debt,8,OK,351,2.419546172,0.119829641,F02,1
liq,8,OK,351,6.163208457,0.013043441,F03,1
log_gdp_pc,8,OK,351,0.537916499,0.463297482,F04,1
trade+debt,8,OK,351,0.221163113,0.895313308,F05,2
trade+liq,8,OK,351,0.724165302,0.696224822,F06,2
trade+log_gdp_pc,8,OK,351,0.783549323,0.675856393,F07,2
debt+liq,8,OK,351,0.434589144,0.804692894,F08,2
debt+log_gdp_pc,8,OK,351,0.213311720,0.898834945,F09,2
liq+log_gdp_pc,8,OK,351,0.196802651,0.906285115,F10,2
trade+debt+liq,8,OK,351,0.315801574,0.957029747,F11,3
trade+debt+log_gdp_pc,8,OK,351,1.603687586,0.658553974,F12,3
trade+liq+log_gdp_pc,8,OK,351,1.464710209,0.690438814,F13,3
debt+liq+log_gdp_pc,8,OK,351,0.263772245,0.966691430,F14,3
trade+debt+liq+log_gdp_pc,8,OK,351,0.476255864,0.975770928,F15,4
