features,max_abs_poland_z,mean_abs_poland_z,mahalanobis2,mahalanobis_support_p,nearest_country_years_dist_le_1,nearest_country_years_dist_le_1_5,nearest_unique_countries_dist_le_1_5,min_distance_to_pol,support_reference_excludes
trade,0.161130026,0.161130026,0.026014913,0.871863902,370,452,27,0.000198322,POL_2022_target
debt,0.376724387,0.376724387,0.135523783,0.712772164,377,440,25,0.000000000,POL_2022_target
liq,0.768793658,0.768793658,0.592882484,0.441306640,341,397,24,0.003123563,POL_2022_target
log_gdp_pc,0.067980512,0.067980512,0.004630418,0.945748082,381,461,26,0.000591831,POL_2022_target
trade+debt,0.376724387,0.268927207,0.205169650,0.902501592,251,349,24,0.026519069,POL_2022_target
trade+liq,0.768793658,0.464961842,0.676197929,0.713124710,225,341,23,0.045915270,POL_2022_target
trade+log_gdp_pc,0.161130026,0.114555269,0.028400656,0.985900021,216,390,26,0.020421501,POL_2022_target
debt+liq,0.768793658,0.572759022,0.606408549,0.738448235,237,338,23,0.033931812,POL_2022_target
debt+log_gdp_pc,0.376724387,0.222352449,0.138465817,0.933109326,210,370,24,0.080415759,POL_2022_target
liq+log_gdp_pc,0.768793658,0.418387085,0.704230016,0.703199244,205,325,23,0.054219022,POL_2022_target
trade+debt+liq,0.768793658,0.435549357,0.709715644,0.870916387,146,268,22,0.071209002,POL_2022_target
trade+debt+log_gdp_pc,0.376724387,0.201944975,0.205518015,0.976693624,130,284,22,0.114784488,POL_2022_target
trade+liq+log_gdp_pc,0.768793658,0.332634732,0.843921286,0.838935328,135,268,22,0.156100905,POL_2022_target
debt+liq+log_gdp_pc,0.768793658,0.404499519,0.708943043,0.871098466,120,248,22,0.156510894,POL_2022_target
trade+debt+liq+log_gdp_pc,0.768793658,0.343657146,0.864209803,0.929638405,80,187,21,0.176647797,POL_2022_target
