spec_version,country,eurostat_geo,year,euro_adoption_year,in_euro_area_year,short_rate_available,short_rate_percent,short_rate_ratio,short_rate_source_dataset,short_rate_source_geo,short_rate_source_rule,fallback_reason,source_priority,source_obs_count,missing_reason,attempted_sources
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,AUT,AT,2001,1999,True,True,4.266560000,0.042665600,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,AUT,AT,2002,1999,True,True,3.320140000,0.033201400,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,AUT,AT,2003,1999,True,True,2.330130000,0.023301300,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,AUT,AT,2004,1999,True,True,2.106990000,0.021069900,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,AUT,AT,2005,1999,True,True,2.184460000,0.021844600,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,AUT,AT,2006,1999,True,True,3.078410000,0.030784100,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,AUT,AT,2007,1999,True,True,4.277560000,0.042775600,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,AUT,AT,2008,1999,True,True,4.643860000,0.046438600,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,AUT,AT,2009,1999,True,True,1.218480000,0.012184800,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,AUT,AT,2010,1999,True,True,0.814350000,0.008143500,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,AUT,AT,2011,1999,True,True,1.393350000,0.013933500,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,AUT,AT,2012,1999,True,True,0.573710000,0.005737100,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,AUT,AT,2013,1999,True,True,0.220470000,0.002204700,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,AUT,AT,2014,1999,True,True,0.208520000,0.002085200,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,AUT,AT,2015,1999,True,True,-0.020220000,-0.000202200,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,AUT,AT,2016,1999,True,True,-0.264750000,-0.002647500,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,AUT,AT,2017,1999,True,True,-0.329050000,-0.003290500,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,AUT,AT,2018,1999,True,True,-0.322090000,-0.003220900,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,AUT,AT,2019,1999,True,True,-0.356990000,-0.003569900,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,AUT,AT,2020,1999,True,True,-0.427300000,-0.004273000,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,AUT,AT,2021,1999,True,True,-0.549030000,-0.005490300,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,AUT,AT,2022,1999,True,True,0.348280000,0.003482800,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,AUT,AT,2023,1999,True,True,3.433320000,0.034333200,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,AUT,AT,2024,1999,True,True,3.572410000,0.035724100,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,BEL,BE,2001,1999,True,True,4.266560000,0.042665600,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,BEL,BE,2002,1999,True,True,3.320140000,0.033201400,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,BEL,BE,2003,1999,True,True,2.330130000,0.023301300,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,BEL,BE,2004,1999,True,True,2.106990000,0.021069900,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,BEL,BE,2005,1999,True,True,2.184460000,0.021844600,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,BEL,BE,2006,1999,True,True,3.078410000,0.030784100,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,BEL,BE,2007,1999,True,True,4.277560000,0.042775600,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,BEL,BE,2008,1999,True,True,4.643860000,0.046438600,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,BEL,BE,2009,1999,True,True,1.218480000,0.012184800,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,BEL,BE,2010,1999,True,True,0.814350000,0.008143500,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,BEL,BE,2011,1999,True,True,1.393350000,0.013933500,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,BEL,BE,2012,1999,True,True,0.573710000,0.005737100,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,BEL,BE,2013,1999,True,True,0.220470000,0.002204700,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,BEL,BE,2014,1999,True,True,0.208520000,0.002085200,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,BEL,BE,2015,1999,True,True,-0.020220000,-0.000202200,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,BEL,BE,2016,1999,True,True,-0.264750000,-0.002647500,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,BEL,BE,2017,1999,True,True,-0.329050000,-0.003290500,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,BEL,BE,2018,1999,True,True,-0.322090000,-0.003220900,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,BEL,BE,2019,1999,True,True,-0.356990000,-0.003569900,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,BEL,BE,2020,1999,True,True,-0.427300000,-0.004273000,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,BEL,BE,2021,1999,True,True,-0.549030000,-0.005490300,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,BEL,BE,2022,1999,True,True,0.348280000,0.003482800,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,BEL,BE,2023,1999,True,True,3.433320000,0.034333200,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,BEL,BE,2024,1999,True,True,3.572410000,0.035724100,irt_st_a,EA,EA_after_euro_adoption,primary_irt_st_a_annual,1,1,,irt_st_a:EA
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,BGR,BG,2001,,False,True,5.060000000,0.050600000,irt_st_a,BG,local_pre_euro_or_non_euro,primary_irt_st_a_annual,1,1,,irt_st_a:BG
mozdzen_tiva2022_gfcf_realppp_networth_feature_screen_20260513,BGR,BG,2002,,False,True,4.910000000,0.049100000,irt_st_a,BG,local_pre_euro_or_non_euro,primary_irt_st_a_annual,1,1,,irt_st_a:BG
