freq,unit,na_item,geo,time,gdp_pc_current_pps,country,year
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,1995,18796.600000000,BEL,1995
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,1996,19271.700000000,BEL,1996
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,1997,19857.500000000,BEL,1997
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,1998,20277.900000000,BEL,1998
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,1999,21261.200000000,BEL,1999
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2000,23085.200000000,BEL,2000
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2001,23836.800000000,BEL,2001
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2002,24827.000000000,BEL,2002
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2003,25401.600000000,BEL,2003
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2004,26199.100000000,BEL,2004
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2005,27176.800000000,BEL,2005
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2006,28033.000000000,BEL,2006
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2007,29054.700000000,BEL,2007
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2008,29399.000000000,BEL,2008
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2009,28616.000000000,BEL,2009
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2010,30161.800000000,BEL,2010
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2011,30735.500000000,BEL,2011
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2012,31372.600000000,BEL,2012
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2013,31661.500000000,BEL,2013
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2014,32359.400000000,BEL,2014
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2015,33127.000000000,BEL,2015
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2016,33631.000000000,BEL,2016
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2017,34519.600000000,BEL,2017
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2018,35579.300000000,BEL,2018
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2019,36884.800000000,BEL,2019
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2020,35850.500000000,BEL,2020
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2021,38699.200000000,BEL,2021
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2022,42520.100000000,BEL,2022
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2023,45365.700000000,BEL,2023
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2024,46587.900000000,BEL,2024
A,CP_PPS_EU27_2020_HAB,B1GQ,BG,1995,6483.900000000,BGR,1995
A,CP_PPS_EU27_2020_HAB,B1GQ,BG,1996,5803.100000000,BGR,1996
A,CP_PPS_EU27_2020_HAB,B1GQ,BG,1997,4811.300000000,BGR,1997
A,CP_PPS_EU27_2020_HAB,B1GQ,BG,1998,5140.300000000,BGR,1998
A,CP_PPS_EU27_2020_HAB,B1GQ,BG,1999,4853.700000000,BGR,1999
A,CP_PPS_EU27_2020_HAB,B1GQ,BG,2000,5335.800000000,BGR,2000
A,CP_PPS_EU27_2020_HAB,B1GQ,BG,2001,5831.900000000,BGR,2001
A,CP_PPS_EU27_2020_HAB,B1GQ,BG,2002,6358.000000000,BGR,2002
A,CP_PPS_EU27_2020_HAB,B1GQ,BG,2003,6869.300000000,BGR,2003
A,CP_PPS_EU27_2020_HAB,B1GQ,BG,2004,7456.400000000,BGR,2004
A,CP_PPS_EU27_2020_HAB,B1GQ,BG,2005,8341.800000000,BGR,2005
A,CP_PPS_EU27_2020_HAB,B1GQ,BG,2006,8954.700000000,BGR,2006
A,CP_PPS_EU27_2020_HAB,B1GQ,BG,2007,9972.400000000,BGR,2007
A,CP_PPS_EU27_2020_HAB,B1GQ,BG,2008,10942.700000000,BGR,2008
A,CP_PPS_EU27_2020_HAB,B1GQ,BG,2009,10512.300000000,BGR,2009
