freq,unit,na_item,geo,time,gdp_pc_real_index_2020,country,year
A,CLV_I20_HAB,B1GQ,BE,1995,77.286000000,BEL,1995
A,CLV_I20_HAB,B1GQ,BE,1996,78.155000000,BEL,1996
A,CLV_I20_HAB,B1GQ,BE,1997,80.928000000,BEL,1997
A,CLV_I20_HAB,B1GQ,BE,1998,82.340000000,BEL,1998
A,CLV_I20_HAB,B1GQ,BE,1999,85.057000000,BEL,1999
A,CLV_I20_HAB,B1GQ,BE,2000,88.005000000,BEL,2000
A,CLV_I20_HAB,B1GQ,BE,2001,88.667000000,BEL,2001
A,CLV_I20_HAB,B1GQ,BE,2002,89.777000000,BEL,2002
A,CLV_I20_HAB,B1GQ,BE,2003,90.330000000,BEL,2003
A,CLV_I20_HAB,B1GQ,BE,2004,93.152000000,BEL,2004
A,CLV_I20_HAB,B1GQ,BE,2005,94.792000000,BEL,2005
A,CLV_I20_HAB,B1GQ,BE,2006,96.572000000,BEL,2006
A,CLV_I20_HAB,B1GQ,BE,2007,99.390000000,BEL,2007
A,CLV_I20_HAB,B1GQ,BE,2008,99.049000000,BEL,2008
A,CLV_I20_HAB,B1GQ,BE,2009,96.382000000,BEL,2009
A,CLV_I20_HAB,B1GQ,BE,2010,98.094000000,BEL,2010
A,CLV_I20_HAB,B1GQ,BE,2011,98.695000000,BEL,2011
A,CLV_I20_HAB,B1GQ,BE,2012,98.298000000,BEL,2012
A,CLV_I20_HAB,B1GQ,BE,2013,98.134000000,BEL,2013
A,CLV_I20_HAB,B1GQ,BE,2014,99.424000000,BEL,2014
A,CLV_I20_HAB,B1GQ,BE,2015,100.307000000,BEL,2015
A,CLV_I20_HAB,B1GQ,BE,2016,100.992000000,BEL,2016
A,CLV_I20_HAB,B1GQ,BE,2017,102.086000000,BEL,2017
A,CLV_I20_HAB,B1GQ,BE,2018,103.531000000,BEL,2018
A,CLV_I20_HAB,B1GQ,BE,2019,105.489000000,BEL,2019
A,CLV_I20_HAB,B1GQ,BE,2020,100.000000000,BEL,2020
A,CLV_I20_HAB,B1GQ,BE,2021,105.818000000,BEL,2021
A,CLV_I20_HAB,B1GQ,BE,2022,109.192000000,BEL,2022
A,CLV_I20_HAB,B1GQ,BE,2023,109.957000000,BEL,2023
A,CLV_I20_HAB,B1GQ,BE,2024,110.505000000,BEL,2024
A,CLV_I20_HAB,B1GQ,BG,1995,47.653000000,BGR,1995
A,CLV_I20_HAB,B1GQ,BG,1996,50.393000000,BGR,1996
A,CLV_I20_HAB,B1GQ,BG,1997,43.544000000,BGR,1997
A,CLV_I20_HAB,B1GQ,BG,1998,45.497000000,BGR,1998
A,CLV_I20_HAB,B1GQ,BG,1999,41.911000000,BGR,1999
A,CLV_I20_HAB,B1GQ,BG,2000,44.051000000,BGR,2000
A,CLV_I20_HAB,B1GQ,BG,2001,47.220000000,BGR,2001
