freq,unit,co_nco,sector,finpos,na_item,geo,time,hh_total_financial_assets_mio_eur,country,year
A,MIO_EUR,NCO,S14_S15,ASS,F,BE,1995,575733.900000000,BEL,1995
A,MIO_EUR,NCO,S14_S15,ASS,F,BE,1996,600789.300000000,BEL,1996
A,MIO_EUR,NCO,S14_S15,ASS,F,BE,1997,637177.400000000,BEL,1997
A,MIO_EUR,NCO,S14_S15,ASS,F,BE,1998,672222.100000000,BEL,1998
A,MIO_EUR,NCO,S14_S15,ASS,F,BE,1999,739092.700000000,BEL,1999
A,MIO_EUR,NCO,S14_S15,ASS,F,BE,2000,741634.000000000,BEL,2000
A,MIO_EUR,NCO,S14_S15,ASS,F,BE,2001,752582.400000000,BEL,2001
A,MIO_EUR,NCO,S14_S15,ASS,F,BE,2002,712681.000000000,BEL,2002
A,MIO_EUR,NCO,S14_S15,ASS,F,BE,2003,748402.800000000,BEL,2003
A,MIO_EUR,NCO,S14_S15,ASS,F,BE,2004,812085.600000000,BEL,2004
A,MIO_EUR,NCO,S14_S15,ASS,F,BE,2005,885941.200000000,BEL,2005
A,MIO_EUR,NCO,S14_S15,ASS,F,BE,2006,921218.400000000,BEL,2006
A,MIO_EUR,NCO,S14_S15,ASS,F,BE,2007,956485.800000000,BEL,2007
A,MIO_EUR,NCO,S14_S15,ASS,F,BE,2008,894214.000000000,BEL,2008
A,MIO_EUR,NCO,S14_S15,ASS,F,BE,2009,982517.700000000,BEL,2009
A,MIO_EUR,NCO,S14_S15,ASS,F,BE,2010,1048191.900000000,BEL,2010
A,MIO_EUR,NCO,S14_S15,ASS,F,BE,2011,1070136.000000000,BEL,2011
A,MIO_EUR,NCO,S14_S15,ASS,F,BE,2012,1116379.700000000,BEL,2012
A,MIO_EUR,NCO,S14_S15,ASS,F,BE,2013,1152055.400000000,BEL,2013
A,MIO_EUR,NCO,S14_S15,ASS,F,BE,2014,1212093.600000000,BEL,2014
A,MIO_EUR,NCO,S14_S15,ASS,F,BE,2015,1269722.200000000,BEL,2015
A,MIO_EUR,NCO,S14_S15,ASS,F,BE,2016,1322517.300000000,BEL,2016
A,MIO_EUR,NCO,S14_S15,ASS,F,BE,2017,1344505.100000000,BEL,2017
A,MIO_EUR,NCO,S14_S15,ASS,F,BE,2018,1313167.800000000,BEL,2018
A,MIO_EUR,NCO,S14_S15,ASS,F,BE,2019,1416361.800000000,BEL,2019
A,MIO_EUR,NCO,S14_S15,ASS,F,BE,2020,1480742.800000000,BEL,2020
A,MIO_EUR,NCO,S14_S15,ASS,F,BE,2021,1572194.400000000,BEL,2021
A,MIO_EUR,NCO,S14_S15,ASS,F,BE,2022,1489586.500000000,BEL,2022
A,MIO_EUR,NCO,S14_S15,ASS,F,BE,2023,1574828.100000000,BEL,2023
A,MIO_EUR,NCO,S14_S15,ASS,F,BE,2024,1651405.400000000,BEL,2024
A,MIO_EUR,NCO,S14_S15,ASS,F,BG,1996,1362.800000000,BGR,1996
A,MIO_EUR,NCO,S14_S15,ASS,F,BG,1997,2449.000000000,BGR,1997
A,MIO_EUR,NCO,S14_S15,ASS,F,BG,1998,3343.100000000,BGR,1998
A,MIO_EUR,NCO,S14_S15,ASS,F,BG,1999,4083.900000000,BGR,1999
A,MIO_EUR,NCO,S14_S15,ASS,F,BG,2000,5592.000000000,BGR,2000
A,MIO_EUR,NCO,S14_S15,ASS,F,BG,2001,6544.300000000,BGR,2001
A,MIO_EUR,NCO,S14_S15,ASS,F,BG,2002,7751.900000000,BGR,2002
A,MIO_EUR,NCO,S14_S15,ASS,F,BG,2003,9320.400000000,BGR,2003
A,MIO_EUR,NCO,S14_S15,ASS,F,BG,2004,11090.800000000,BGR,2004
A,MIO_EUR,NCO,S14_S15,ASS,F,BG,2005,13392.800000000,BGR,2005
A,MIO_EUR,NCO,S14_S15,ASS,F,BG,2006,14576.000000000,BGR,2006
A,MIO_EUR,NCO,S14_S15,ASS,F,BG,2007,27878.800000000,BGR,2007
A,MIO_EUR,NCO,S14_S15,ASS,F,BG,2008,35887.200000000,BGR,2008
A,MIO_EUR,NCO,S14_S15,ASS,F,BG,2009,42640.000000000,BGR,2009
A,MIO_EUR,NCO,S14_S15,ASS,F,BG,2010,44997.700000000,BGR,2010
A,MIO_EUR,NCO,S14_S15,ASS,F,BG,2011,46637.000000000,BGR,2011
A,MIO_EUR,NCO,S14_S15,ASS,F,BG,2012,48125.700000000,BGR,2012
A,MIO_EUR,NCO,S14_S15,ASS,F,BG,2013,54669.900000000,BGR,2013
A,MIO_EUR,NCO,S14_S15,ASS,F,BG,2014,59800.200000000,BGR,2014
A,MIO_EUR,NCO,S14_S15,ASS,F,BG,2015,64682.800000000,BGR,2015
A,MIO_EUR,NCO,S14_S15,ASS,F,BG,2016,70728.000000000,BGR,2016
