freq,unit,co_nco,sector,finpos,na_item,geo,time,hh_total_financial_liabilities_mio_eur,country,year
A,MIO_EUR,NCO,S14_S15,LIAB,F,BE,1995,89542.900000000,BEL,1995
A,MIO_EUR,NCO,S14_S15,LIAB,F,BE,1996,91262.100000000,BEL,1996
A,MIO_EUR,NCO,S14_S15,LIAB,F,BE,1997,95855.500000000,BEL,1997
A,MIO_EUR,NCO,S14_S15,LIAB,F,BE,1998,99255.000000000,BEL,1998
A,MIO_EUR,NCO,S14_S15,LIAB,F,BE,1999,104869.400000000,BEL,1999
A,MIO_EUR,NCO,S14_S15,LIAB,F,BE,2000,107165.800000000,BEL,2000
A,MIO_EUR,NCO,S14_S15,LIAB,F,BE,2001,105863.900000000,BEL,2001
A,MIO_EUR,NCO,S14_S15,LIAB,F,BE,2002,109776.300000000,BEL,2002
A,MIO_EUR,NCO,S14_S15,LIAB,F,BE,2003,114579.100000000,BEL,2003
A,MIO_EUR,NCO,S14_S15,LIAB,F,BE,2004,124130.300000000,BEL,2004
A,MIO_EUR,NCO,S14_S15,LIAB,F,BE,2005,137885.700000000,BEL,2005
A,MIO_EUR,NCO,S14_S15,LIAB,F,BE,2006,151702.100000000,BEL,2006
A,MIO_EUR,NCO,S14_S15,LIAB,F,BE,2007,166707.900000000,BEL,2007
A,MIO_EUR,NCO,S14_S15,LIAB,F,BE,2008,180219.600000000,BEL,2008
A,MIO_EUR,NCO,S14_S15,LIAB,F,BE,2009,185980.000000000,BEL,2009
A,MIO_EUR,NCO,S14_S15,LIAB,F,BE,2010,197335.100000000,BEL,2010
A,MIO_EUR,NCO,S14_S15,LIAB,F,BE,2011,214251.100000000,BEL,2011
A,MIO_EUR,NCO,S14_S15,LIAB,F,BE,2012,221094.500000000,BEL,2012
A,MIO_EUR,NCO,S14_S15,LIAB,F,BE,2013,227685.100000000,BEL,2013
A,MIO_EUR,NCO,S14_S15,LIAB,F,BE,2014,240540.200000000,BEL,2014
A,MIO_EUR,NCO,S14_S15,LIAB,F,BE,2015,249485.100000000,BEL,2015
A,MIO_EUR,NCO,S14_S15,LIAB,F,BE,2016,260699.700000000,BEL,2016
A,MIO_EUR,NCO,S14_S15,LIAB,F,BE,2017,272101.100000000,BEL,2017
A,MIO_EUR,NCO,S14_S15,LIAB,F,BE,2018,281978.500000000,BEL,2018
A,MIO_EUR,NCO,S14_S15,LIAB,F,BE,2019,299038.900000000,BEL,2019
A,MIO_EUR,NCO,S14_S15,LIAB,F,BE,2020,310580.300000000,BEL,2020
A,MIO_EUR,NCO,S14_S15,LIAB,F,BE,2021,327971.000000000,BEL,2021
A,MIO_EUR,NCO,S14_S15,LIAB,F,BE,2022,345250.100000000,BEL,2022
A,MIO_EUR,NCO,S14_S15,LIAB,F,BE,2023,352512.400000000,BEL,2023
A,MIO_EUR,NCO,S14_S15,LIAB,F,BE,2024,360586.800000000,BEL,2024
A,MIO_EUR,NCO,S14_S15,LIAB,F,BG,1996,137.800000000,BGR,1996
A,MIO_EUR,NCO,S14_S15,LIAB,F,BG,1997,169.000000000,BGR,1997
A,MIO_EUR,NCO,S14_S15,LIAB,F,BG,1998,325.800000000,BGR,1998
A,MIO_EUR,NCO,S14_S15,LIAB,F,BG,1999,399.700000000,BGR,1999
A,MIO_EUR,NCO,S14_S15,LIAB,F,BG,2000,616.300000000,BGR,2000
A,MIO_EUR,NCO,S14_S15,LIAB,F,BG,2001,858.000000000,BGR,2001
A,MIO_EUR,NCO,S14_S15,LIAB,F,BG,2002,1173.600000000,BGR,2002
A,MIO_EUR,NCO,S14_S15,LIAB,F,BG,2003,1879.900000000,BGR,2003
A,MIO_EUR,NCO,S14_S15,LIAB,F,BG,2004,2782.600000000,BGR,2004
A,MIO_EUR,NCO,S14_S15,LIAB,F,BG,2005,4466.100000000,BGR,2005
A,MIO_EUR,NCO,S14_S15,LIAB,F,BG,2006,6340.000000000,BGR,2006
A,MIO_EUR,NCO,S14_S15,LIAB,F,BG,2007,9504.900000000,BGR,2007
A,MIO_EUR,NCO,S14_S15,LIAB,F,BG,2008,12574.000000000,BGR,2008
A,MIO_EUR,NCO,S14_S15,LIAB,F,BG,2009,12818.500000000,BGR,2009
A,MIO_EUR,NCO,S14_S15,LIAB,F,BG,2010,12986.800000000,BGR,2010
A,MIO_EUR,NCO,S14_S15,LIAB,F,BG,2011,12932.500000000,BGR,2011
A,MIO_EUR,NCO,S14_S15,LIAB,F,BG,2012,12663.500000000,BGR,2012
A,MIO_EUR,NCO,S14_S15,LIAB,F,BG,2013,12886.100000000,BGR,2013
A,MIO_EUR,NCO,S14_S15,LIAB,F,BG,2014,13320.700000000,BGR,2014
A,MIO_EUR,NCO,S14_S15,LIAB,F,BG,2015,13307.000000000,BGR,2015
A,MIO_EUR,NCO,S14_S15,LIAB,F,BG,2016,13696.300000000,BGR,2016
A,MIO_EUR,NCO,S14_S15,LIAB,F,BG,2017,14974.900000000,BGR,2017
A,MIO_EUR,NCO,S14_S15,LIAB,F,BG,2018,16146.800000000,BGR,2018
A,MIO_EUR,NCO,S14_S15,LIAB,F,BG,2019,17964.700000000,BGR,2019
A,MIO_EUR,NCO,S14_S15,LIAB,F,BG,2020,18970.600000000,BGR,2020
A,MIO_EUR,NCO,S14_S15,LIAB,F,BG,2021,20895.000000000,BGR,2021
A,MIO_EUR,NCO,S14_S15,LIAB,F,BG,2022,23506.100000000,BGR,2022
A,MIO_EUR,NCO,S14_S15,LIAB,F,BG,2023,26439.300000000,BGR,2023
A,MIO_EUR,NCO,S14_S15,LIAB,F,BG,2024,31536.500000000,BGR,2024
A,MIO_EUR,NCO,S14_S15,LIAB,F,CZ,1995,6817.400000000,CZE,1995
A,MIO_EUR,NCO,S14_S15,LIAB,F,CZ,1996,6050.400000000,CZE,1996
A,MIO_EUR,NCO,S14_S15,LIAB,F,CZ,1997,5833.600000000,CZE,1997
A,MIO_EUR,NCO,S14_S15,LIAB,F,CZ,1998,6294.000000000,CZE,1998
A,MIO_EUR,NCO,S14_S15,LIAB,F,CZ,1999,6818.400000000,CZE,1999
A,MIO_EUR,NCO,S14_S15,LIAB,F,CZ,2000,7901.300000000,CZE,2000
A,MIO_EUR,NCO,S14_S15,LIAB,F,CZ,2001,9473.600000000,CZE,2001
A,MIO_EUR,NCO,S14_S15,LIAB,F,CZ,2002,12174.100000000,CZE,2002
A,MIO_EUR,NCO,S14_S15,LIAB,F,CZ,2003,13383.100000000,CZE,2003
A,MIO_EUR,NCO,S14_S15,LIAB,F,CZ,2004,17513.900000000,CZE,2004
A,MIO_EUR,NCO,S14_S15,LIAB,F,CZ,2005,22503.100000000,CZE,2005
