freq,unit,na_item,geo,time,nominal_gdp_mio_eur,country,year
A,CP_MEUR,B1GQ,BE,1995,220251.500000000,BEL,1995
A,CP_MEUR,B1GQ,BE,1996,219965.300000000,BEL,1996
A,CP_MEUR,B1GQ,BE,1997,223032.700000000,BEL,1997
A,CP_MEUR,B1GQ,BE,1998,231015.700000000,BEL,1998
A,CP_MEUR,B1GQ,BE,1999,242307.600000000,BEL,1999
A,CP_MEUR,B1GQ,BE,2000,256376.400000000,BEL,2000
A,CP_MEUR,B1GQ,BE,2001,264334.900000000,BEL,2001
A,CP_MEUR,B1GQ,BE,2002,273255.900000000,BEL,2002
A,CP_MEUR,B1GQ,BE,2003,281200.200000000,BEL,2003
A,CP_MEUR,B1GQ,BE,2004,296819.700000000,BEL,2004
A,CP_MEUR,B1GQ,BE,2005,310037.600000000,BEL,2005
A,CP_MEUR,B1GQ,BE,2006,325151.500000000,BEL,2006
A,CP_MEUR,B1GQ,BE,2007,343618.900000000,BEL,2007
A,CP_MEUR,B1GQ,BE,2008,351743.100000000,BEL,2008
A,CP_MEUR,B1GQ,BE,2009,347734.900000000,BEL,2009
A,CP_MEUR,B1GQ,BE,2010,363242.400000000,BEL,2010
A,CP_MEUR,B1GQ,BE,2011,378745.400000000,BEL,2011
A,CP_MEUR,B1GQ,BE,2012,387934.900000000,BEL,2012
A,CP_MEUR,B1GQ,BE,2013,394616.300000000,BEL,2013
A,CP_MEUR,B1GQ,BE,2014,404958.300000000,BEL,2014
A,CP_MEUR,B1GQ,BE,2015,415538.000000000,BEL,2015
A,CP_MEUR,B1GQ,BE,2016,428467.100000000,BEL,2016
A,CP_MEUR,B1GQ,BE,2017,443407.200000000,BEL,2017
A,CP_MEUR,B1GQ,BE,2018,459491.800000000,BEL,2018
A,CP_MEUR,B1GQ,BE,2019,479444.900000000,BEL,2019
A,CP_MEUR,B1GQ,BE,2020,463750.900000000,BEL,2020
A,CP_MEUR,B1GQ,BE,2021,506047.200000000,BEL,2021
A,CP_MEUR,B1GQ,BE,2022,561678.200000000,BEL,2022
A,CP_MEUR,B1GQ,BE,2023,601866.500000000,BEL,2023
A,CP_MEUR,B1GQ,BE,2024,619914.300000000,BEL,2024
A,CP_MEUR,B1GQ,BG,1995,14518.400000000,BGR,1995
A,CP_MEUR,B1GQ,BG,1996,9827.900000000,BGR,1996
A,CP_MEUR,B1GQ,BG,1997,10064.700000000,BGR,1997
A,CP_MEUR,B1GQ,BG,1998,13437.400000000,BGR,1998
A,CP_MEUR,B1GQ,BG,1999,12804.200000000,BGR,1999
A,CP_MEUR,B1GQ,BG,2000,14440.000000000,BGR,2000
A,CP_MEUR,B1GQ,BG,2001,15905.300000000,BGR,2001
A,CP_MEUR,B1GQ,BG,2002,17478.300000000,BGR,2002
A,CP_MEUR,B1GQ,BG,2003,18798.300000000,BGR,2003
A,CP_MEUR,B1GQ,BG,2004,21093.200000000,BGR,2004
A,CP_MEUR,B1GQ,BG,2005,24039.900000000,BGR,2005
A,CP_MEUR,B1GQ,BG,2006,27409.600000000,BGR,2006
A,CP_MEUR,B1GQ,BG,2007,32464.200000000,BGR,2007
A,CP_MEUR,B1GQ,BG,2008,37246.100000000,BGR,2008
A,CP_MEUR,B1GQ,BG,2009,37417.100000000,BGR,2009
A,CP_MEUR,B1GQ,BG,2010,38289.400000000,BGR,2010
A,CP_MEUR,B1GQ,BG,2011,41479.200000000,BGR,2011
A,CP_MEUR,B1GQ,BG,2012,42254.600000000,BGR,2012
A,CP_MEUR,B1GQ,BG,2013,42055.500000000,BGR,2013
A,CP_MEUR,B1GQ,BG,2014,43024.000000000,BGR,2014
A,CP_MEUR,B1GQ,BG,2015,45797.100000000,BGR,2015
A,CP_MEUR,B1GQ,BG,2016,48751.400000000,BGR,2016
A,CP_MEUR,B1GQ,BG,2017,52501.000000000,BGR,2017
A,CP_MEUR,B1GQ,BG,2018,55999.700000000,BGR,2018
A,CP_MEUR,B1GQ,BG,2019,61194.400000000,BGR,2019
A,CP_MEUR,B1GQ,BG,2020,61855.600000000,BGR,2020
A,CP_MEUR,B1GQ,BG,2021,71343.900000000,BGR,2021
A,CP_MEUR,B1GQ,BG,2022,86078.200000000,BGR,2022
A,CP_MEUR,B1GQ,BG,2023,94525.100000000,BGR,2023
A,CP_MEUR,B1GQ,BG,2024,104767.200000000,BGR,2024
A,CP_MEUR,B1GQ,CZ,1995,46333.600000000,CZE,1995
A,CP_MEUR,B1GQ,CZ,1996,53416.000000000,CZE,1996
A,CP_MEUR,B1GQ,CZ,1997,55174.600000000,CZE,1997
A,CP_MEUR,B1GQ,CZ,1998,60164.900000000,CZE,1998
A,CP_MEUR,B1GQ,CZ,1999,61470.400000000,CZE,1999
A,CP_MEUR,B1GQ,CZ,2000,67409.200000000,CZE,2000
A,CP_MEUR,B1GQ,CZ,2001,76070.600000000,CZE,2001
A,CP_MEUR,B1GQ,CZ,2002,87795.900000000,CZE,2002
A,CP_MEUR,B1GQ,CZ,2003,88965.600000000,CZE,2003
A,CP_MEUR,B1GQ,CZ,2004,96822.800000000,CZE,2004
A,CP_MEUR,B1GQ,CZ,2005,110418.800000000,CZE,2005
A,CP_MEUR,B1GQ,CZ,2006,124559.000000000,CZE,2006
A,CP_MEUR,B1GQ,CZ,2007,138897.500000000,CZE,2007
A,CP_MEUR,B1GQ,CZ,2008,161852.200000000,CZE,2008
A,CP_MEUR,B1GQ,CZ,2009,149253.100000000,CZE,2009
A,CP_MEUR,B1GQ,CZ,2010,159506.100000000,CZE,2010
A,CP_MEUR,B1GQ,CZ,2011,166545.500000000,CZE,2011
A,CP_MEUR,B1GQ,CZ,2012,163759.400000000,CZE,2012
A,CP_MEUR,B1GQ,CZ,2013,160470.000000000,CZE,2013
A,CP_MEUR,B1GQ,CZ,2014,158991.500000000,CZE,2014
A,CP_MEUR,B1GQ,CZ,2015,170527.300000000,CZE,2015
A,CP_MEUR,B1GQ,CZ,2016,179145.900000000,CZE,2016
A,CP_MEUR,B1GQ,CZ,2017,196738.700000000,CZE,2017
A,CP_MEUR,B1GQ,CZ,2018,213505.400000000,CZE,2018
A,CP_MEUR,B1GQ,CZ,2019,229406.700000000,CZE,2019
A,CP_MEUR,B1GQ,CZ,2020,220310.600000000,CZE,2020
A,CP_MEUR,B1GQ,CZ,2021,246012.300000000,CZE,2021
A,CP_MEUR,B1GQ,CZ,2022,286976.800000000,CZE,2022
A,CP_MEUR,B1GQ,CZ,2023,319099.100000000,CZE,2023
A,CP_MEUR,B1GQ,CZ,2024,320786.500000000,CZE,2024
A,CP_MEUR,B1GQ,DK,1995,141320.300000000,DNK,1995
A,CP_MEUR,B1GQ,DK,1996,147724.200000000,DNK,1996
A,CP_MEUR,B1GQ,DK,1997,152890.700000000,DNK,1997
A,CP_MEUR,B1GQ,DK,1998,158043.800000000,DNK,1998
A,CP_MEUR,B1GQ,DK,1999,166899.400000000,DNK,1999
A,CP_MEUR,B1GQ,DK,2000,177893.500000000,DNK,2000
A,CP_MEUR,B1GQ,DK,2001,184146.300000000,DNK,2001
A,CP_MEUR,B1GQ,DK,2002,189957.500000000,DNK,2002
