country,year,measure,domestic_value_added_share_pct,import_content_share
ROU,2022,GFCF_VA_SH,61.081000000,0.389190000
FIN,2021,GFCF_VA_SH,62.417000000,0.375830000
FRA,2021,GFCF_VA_SH,69.993000000,0.300070000
HRV,2021,GFCF_VA_SH,52.558000000,0.474420000
PRT,2021,GFCF_VA_SH,59.747000000,0.402530000
SWE,2021,GFCF_VA_SH,63.738000000,0.362620000
LVA,2021,GFCF_VA_SH,56.281000000,0.437190000
ITA,2021,GFCF_VA_SH,71.455000000,0.285450000
ESP,2021,GFCF_VA_SH,66.914000000,0.330860000
SVN,2021,GFCF_VA_SH,54.907000000,0.450930000
POL,2021,GFCF_VA_SH,60.717000000,0.392830000
SVK,2021,GFCF_VA_SH,49.539000000,0.504610000
GRC,2021,GFCF_VA_SH,60.651000000,0.393490000
DEU,2021,GFCF_VA_SH,66.873000000,0.331270000
LTU,2021,GFCF_VA_SH,54.058000000,0.459420000
HUN,2021,GFCF_VA_SH,44.738000000,0.552620000
BGR,2021,GFCF_VA_SH,51.792000000,0.482080000
IRL,2021,GFCF_VA_SH,12.961000000,0.870390000
EST,2021,GFCF_VA_SH,45.117000000,0.548830000
CYP,2021,GFCF_VA_SH,51.847000000,0.481530000
NLD,2021,GFCF_VA_SH,57.272000000,0.427280000
LUX,2021,GFCF_VA_SH,39.615000000,0.603850000
ROU,2021,GFCF_VA_SH,60.959000000,0.390410000
FIN,2022,GFCF_VA_SH,59.209000000,0.407910000
LVA,2022,GFCF_VA_SH,55.956000000,0.440440000
CZE,2022,GFCF_VA_SH,54.345000000,0.456550000
FRA,2022,GFCF_VA_SH,66.884000000,0.331160000
DEU,2022,GFCF_VA_SH,63.072000000,0.369280000
HUN,2022,GFCF_VA_SH,43.469000000,0.565310000
ITA,2022,GFCF_VA_SH,67.076000000,0.329240000
AUT,2022,GFCF_VA_SH,53.339000000,0.466610000
LTU,2022,GFCF_VA_SH,55.006000000,0.449940000
EST,2022,GFCF_VA_SH,47.892000000,0.521080000
BEL,2022,GFCF_VA_SH,46.327000000,0.536730000
IRL,2022,GFCF_VA_SH,14.876000000,0.851240000
LUX,2022,GFCF_VA_SH,37.641000000,0.623590000
DNK,2022,GFCF_VA_SH,56.812000000,0.431880000
GRC,2022,GFCF_VA_SH,59.125000000,0.408750000
MLT,2016,GFCF_VA_SH,37.772000000,0.622280000
ROU,2016,GFCF_VA_SH,58.191000000,0.418090000
AUT,2017,GFCF_VA_SH,57.099000000,0.429010000
BEL,2017,GFCF_VA_SH,48.986000000,0.510140000
SWE,2019,GFCF_VA_SH,62.766000000,0.372340000
ROU,2019,GFCF_VA_SH,60.809000000,0.391910000
HRV,2019,GFCF_VA_SH,51.489000000,0.485110000
BGR,2019,GFCF_VA_SH,50.234000000,0.497660000
CYP,2019,GFCF_VA_SH,57.823000000,0.421770000
MLT,2019,GFCF_VA_SH,41.401000000,0.585990000
MLT,2022,GFCF_VA_SH,41.993000000,0.580070000
CYP,2022,GFCF_VA_SH,47.284000000,0.527160000
NLD,2022,GFCF_VA_SH,59.232000000,0.407680000
