STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,REF_AREA,Reference area,ACTIVITY,Economic activity,COUNTERPART_AREA,Counterpart area,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, shares",I,GFCF_VA_SH,"Value added in gross fixed capital formation, value added origin shares",ROU,Romania,_T,Total - All activities,D,Domestic (home or reference area),PT_GFCF_VA,Percentage of value added in gross fixed capital formation,A,Annual,2022,,61.081,,0,Units
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, shares",I,GFCF_VA_SH,"Value added in gross fixed capital formation, value added origin shares",FIN,Finland,_T,Total - All activities,D,Domestic (home or reference area),PT_GFCF_VA,Percentage of value added in gross fixed capital formation,A,Annual,2021,,62.417,,0,Units
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, shares",I,GFCF_VA_SH,"Value added in gross fixed capital formation, value added origin shares",FRA,France,_T,Total - All activities,D,Domestic (home or reference area),PT_GFCF_VA,Percentage of value added in gross fixed capital formation,A,Annual,2021,,69.993,,0,Units
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, shares",I,GFCF_VA_SH,"Value added in gross fixed capital formation, value added origin shares",HRV,Croatia,_T,Total - All activities,D,Domestic (home or reference area),PT_GFCF_VA,Percentage of value added in gross fixed capital formation,A,Annual,2021,,52.558,,0,Units
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, shares",I,GFCF_VA_SH,"Value added in gross fixed capital formation, value added origin shares",PRT,Portugal,_T,Total - All activities,D,Domestic (home or reference area),PT_GFCF_VA,Percentage of value added in gross fixed capital formation,A,Annual,2021,,59.747,,0,Units
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, shares",I,GFCF_VA_SH,"Value added in gross fixed capital formation, value added origin shares",SWE,Sweden,_T,Total - All activities,D,Domestic (home or reference area),PT_GFCF_VA,Percentage of value added in gross fixed capital formation,A,Annual,2021,,63.738,,0,Units
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, shares",I,GFCF_VA_SH,"Value added in gross fixed capital formation, value added origin shares",LVA,Latvia,_T,Total - All activities,D,Domestic (home or reference area),PT_GFCF_VA,Percentage of value added in gross fixed capital formation,A,Annual,2021,,56.281,,0,Units
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, shares",I,GFCF_VA_SH,"Value added in gross fixed capital formation, value added origin shares",ITA,Italy,_T,Total - All activities,D,Domestic (home or reference area),PT_GFCF_VA,Percentage of value added in gross fixed capital formation,A,Annual,2021,,71.455,,0,Units
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, shares",I,GFCF_VA_SH,"Value added in gross fixed capital formation, value added origin shares",ESP,Spain,_T,Total - All activities,D,Domestic (home or reference area),PT_GFCF_VA,Percentage of value added in gross fixed capital formation,A,Annual,2021,,66.914,,0,Units
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINSH@DF_MAINSH(1.1),"Trade in Value Added (TiVA) 2025 edition: Principal Indicators, shares",I,GFCF_VA_SH,"Value added in gross fixed capital formation, value added origin shares",SVN,Slovenia,_T,Total - All activities,D,Domestic (home or reference area),PT_GFCF_VA,Percentage of value added in gross fixed capital formation,A,Annual,2021,,54.907,,0,Units
