check,status,detail
variant_present:baseline_frozen_control,PASS,references/upstream_results/variant_grid_summary_from_mozdzen_figaro_tiva_extension_20260514.csv
variant_present:baseline_current_control,PASS,references/upstream_results/variant_grid_summary_from_mozdzen_figaro_tiva_extension_20260514.csv
variant_present:tiva2022_gfcf_realppp_networth,PASS,references/upstream_results/variant_grid_summary_from_mozdzen_figaro_tiva_extension_20260514.csv
variant_present:tiva2022_gfcf_paper_networth,PASS,references/upstream_results/variant_grid_summary_from_mozdzen_figaro_tiva_extension_20260514.csv
variant_present:tiva2022_gfcf_realppp_credit,PASS,references/upstream_results/variant_grid_summary_from_mozdzen_figaro_tiva_extension_20260514.csv
variant_present:figaro2023_gfcf_realppp_networth,PASS,references/upstream_results/variant_grid_summary_from_mozdzen_figaro_tiva_extension_20260514.csv
variant_present:tiva_cf2024_gfcf_realppp_networth,PASS,references/upstream_results/variant_grid_summary_from_mozdzen_figaro_tiva_extension_20260514.csv
variant_present:tiva2022_gfcf_realppp_cash_transferable,PASS,references/upstream_results/variant_grid_summary_from_cash_transferable_trial_20260514.csv
adopted_variant_passes_two_specs,PASS,F01+F03
adopted_variant_uses_official_tiva_gfcf_realppp_networth,PASS,
