variant,lane,source_status,measure,income_key,liq_key,profile_year,sample_end_year,pass_count,passing_specs,estimated_paths_available,K_Y_h8,K_G_h8,dsa_margin_2036_cut_pp,direct_dy_margin_2036_cut_pp,dsa_margin_2036_expansion_pp,direct_dy_margin_2036_expansion_pp,best_spec_id,best_features,best_p_wald_y_h8,best_q_wald_y_h8_bh,best_p_wald_y_h8_bonferroni,best_gate_status,best_gate_reason,best_time_ok_count,best_finite_run_share,best_h8_design_nobs,best_h8_condition_number,best_max_abs_feature_corr_h8,best_mahalanobis_support_p,best_max_abs_poland_z,best_robustness_score,operator_reading
baseline_current_control,control,accepted/current control,control,paper,credit,2024,2024,2,F01+F11,True,2.148643156,0.747971739,6.352575237,4.886581685,-5.789236145,-4.886581685,F01,trade,0.037116224,0.357366225,0.556743362,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,70.531590050,0.000000000,0.690529282,0.397730054,9,"passes local gate with F01+F11; diagnostic only, not a manuscript promotion"
baseline_frozen_control,control,accepted/current control,control,paper,credit,2024,2024,2,F01+F11,True,2.149970968,0.748297990,6.371492666,4.891678068,-5.807471128,-4.891678068,F01,trade,0.037116224,0.358539091,0.556743361,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,70.531590015,0.000000000,0.690531467,0.397727093,9,"passes local gate with F01+F11; diagnostic only, not a manuscript promotion"
figaro2023_avg_paper_credit,figaro2023,FIGARO public matrix source through 2023,avg,paper,credit,2023,2023,0,,False,,,,,,,F07,trade+log_gdp_pc,0.000005907,0.000044722,0.000088605,FAIL_ROBUSTNESS_GATE,failed_time_block_finiteness,2,0.666666667,162,40.836355618,0.190902685,0.944768060,0.176785932,8,no specification passes; best raw-p candidate fails failed_time_block_finiteness
figaro2023_avg_paper_deposits,figaro2023,FIGARO public matrix source through 2023,avg,paper,deposits,2023,2023,0,,False,,,,,,,F07,trade+log_gdp_pc,0.000005907,0.000088605,0.000088605,FAIL_ROBUSTNESS_GATE,failed_time_block_finiteness,2,0.666666667,162,40.836355618,0.190902685,0.944768060,0.176785932,8,no specification passes; best raw-p candidate fails failed_time_block_finiteness
figaro2023_avg_paper_networth,figaro2023,FIGARO public matrix source through 2023,avg,paper,networth,2023,2023,1,F03,True,2.114703444,0.746125764,6.247806441,4.118006860,-5.852717416,-4.118006860,F07,trade+log_gdp_pc,0.000005907,0.000088605,0.000088605,FAIL_ROBUSTNESS_GATE,failed_time_block_finiteness,2,0.666666667,162,40.836355618,0.190902685,0.944768060,0.176785932,8,"passes local gate with F03; diagnostic only, not a manuscript promotion"
figaro2023_avg_realppp_credit,figaro2023,FIGARO public matrix source through 2023,avg,realppp,credit,2023,2023,1,F14,True,-0.787835285,0.667092341,-15.730779810,2.962153671,16.226705965,-2.962153671,F06,trade+liq,0.000005963,0.000089443,0.000089443,FAIL_ROBUSTNESS_GATE,failed_time_block_finiteness,2,0.666666667,162,41.573666225,0.268667244,0.469353051,1.063267302,8,"passes local gate with F14; diagnostic only, not a manuscript promotion"
figaro2023_avg_realppp_deposits,figaro2023,FIGARO public matrix source through 2023,avg,realppp,deposits,2023,2023,0,,False,,,,,,,F07,trade+log_gdp_pc,0.000061634,0.000924504,0.000924504,FAIL_ROBUSTNESS_GATE,failed_time_block_finiteness,2,0.666666667,162,40.779854124,0.068520820,0.970184762,0.144707826,8,no specification passes; best raw-p candidate fails failed_time_block_finiteness
figaro2023_avg_realppp_networth,figaro2023,FIGARO public matrix source through 2023,avg,realppp,networth,2023,2023,1,F03,True,2.114703444,0.746125764,6.247806441,4.118006860,-5.852717416,-4.118006860,F07,trade+log_gdp_pc,0.000061634,0.000924504,0.000924504,FAIL_ROBUSTNESS_GATE,failed_time_block_finiteness,2,0.666666667,162,40.779854124,0.068520820,0.970184762,0.144707826,8,"passes local gate with F03; diagnostic only, not a manuscript promotion"
figaro2023_cons_paper_credit,figaro2023,FIGARO public matrix source through 2023,cons,paper,credit,2023,2023,0,,False,,,,,,,F13,trade+liq+log_gdp_pc,0.000000033,0.000000489,0.000000489,FAIL_ROBUSTNESS_GATE,failed_time_block_finiteness,2,0.666666667,162,41.152804822,0.678892477,0.624121812,1.063267302,8,no specification passes; best raw-p candidate fails failed_time_block_finiteness
figaro2023_cons_paper_deposits,figaro2023,FIGARO public matrix source through 2023,cons,paper,deposits,2023,2023,0,,False,,,,,,,F01,trade,0.000000871,0.000013063,0.000013063,FAIL_ROBUSTNESS_GATE,failed_time_block_finiteness,2,0.666666667,162,39.701841740,0.000000000,0.724566273,0.351838523,8,no specification passes; best raw-p candidate fails failed_time_block_finiteness
