variant,lane,measure,income_key,liq_key,profile_year,sample_end_year,pass_count,passing_specs,K_Y_h8,K_G_h8,dsa_margin_2036_cut_pp,direct_dy_margin_2036_cut_pp,dsa_margin_2036_expansion_pp,direct_dy_margin_2036_expansion_pp
baseline_current_control,control,control,paper,credit,2024,2024,2,F01+F11,2.148643156,0.747971739,6.352575237,4.886581685,-5.789236145,-4.886581685
baseline_frozen_control,control,control,paper,credit,2024,2024,2,F01+F11,2.149970968,0.748297990,6.371492666,4.891678068,-5.807471128,-4.891678068
figaro2023_avg_paper_credit,figaro2023,avg,paper,credit,2023,2023,0,,,,,,,
figaro2023_avg_paper_deposits,figaro2023,avg,paper,deposits,2023,2023,0,,,,,,,
figaro2023_avg_paper_networth,figaro2023,avg,paper,networth,2023,2023,1,F03,2.114703444,0.746125764,6.247806441,4.118006860,-5.852717416,-4.118006860
figaro2023_avg_realppp_credit,figaro2023,avg,realppp,credit,2023,2023,1,F14,-0.787835285,0.667092341,-15.730779810,2.962153671,16.226705965,-2.962153671
figaro2023_avg_realppp_deposits,figaro2023,avg,realppp,deposits,2023,2023,0,,,,,,,
figaro2023_avg_realppp_networth,figaro2023,avg,realppp,networth,2023,2023,1,F03,2.114703444,0.746125764,6.247806441,4.118006860,-5.852717416,-4.118006860
figaro2023_cons_paper_credit,figaro2023,cons,paper,credit,2023,2023,0,,,,,,,
figaro2023_cons_paper_deposits,figaro2023,cons,paper,deposits,2023,2023,0,,,,,,,
figaro2023_cons_paper_networth,figaro2023,cons,paper,networth,2023,2023,1,F03,2.114703444,0.746125764,6.247806441,4.118006860,-5.852717416,-4.118006860
figaro2023_cons_realppp_credit,figaro2023,cons,realppp,credit,2023,2023,1,F14,-0.787835285,0.667092341,-15.730779810,2.962153671,16.226705965,-2.962153671
figaro2023_cons_realppp_deposits,figaro2023,cons,realppp,deposits,2023,2023,0,,,,,,,
figaro2023_cons_realppp_networth,figaro2023,cons,realppp,networth,2023,2023,1,F03,2.114703444,0.746125764,6.247806441,4.118006860,-5.852717416,-4.118006860
figaro2023_gfcf_paper_credit,figaro2023,gfcf,paper,credit,2023,2023,0,,,,,,,
figaro2023_gfcf_paper_deposits,figaro2023,gfcf,paper,deposits,2023,2023,0,,,,,,,
figaro2023_gfcf_paper_networth,figaro2023,gfcf,paper,networth,2023,2023,1,F03,2.114703444,0.746125764,6.247806441,4.118006860,-5.852717416,-4.118006860
figaro2023_gfcf_realppp_credit,figaro2023,gfcf,realppp,credit,2023,2023,1,F14,-0.787835285,0.667092341,-15.730779810,2.962153671,16.226705965,-2.962153671
figaro2023_gfcf_realppp_deposits,figaro2023,gfcf,realppp,deposits,2023,2023,0,,,,,,,
figaro2023_gfcf_realppp_networth,figaro2023,gfcf,realppp,networth,2023,2023,1,F03,2.114703444,0.746125764,6.247806441,4.118006860,-5.852717416,-4.118006860
tiva2022_avg_paper_credit,tiva2022,avg,paper,credit,2022,2022,1,F01,1.538313557,0.710076287,2.386541344,1.630790109,-2.181390252,-1.630790109
tiva2022_avg_paper_deposits,tiva2022,avg,paper,deposits,2022,2022,1,F01,1.538313557,0.710076287,2.386541344,1.630790109,-2.181390252,-1.630790109
tiva2022_avg_paper_networth,tiva2022,avg,paper,networth,2022,2022,2,F03+F01,1.848128551,0.728041975,4.444829816,2.970054808,-4.139654024,-2.970054808
tiva2022_avg_realppp_credit,tiva2022,avg,realppp,credit,2022,2022,2,F14+F01,0.482525891,0.691675939,-5.671872646,2.278172130,5.975420890,-2.278172130
tiva2022_avg_realppp_deposits,tiva2022,avg,realppp,deposits,2022,2022,1,F01,1.538313557,0.710076287,2.386541344,1.630790109,-2.181390252,-1.630790109
tiva2022_avg_realppp_networth,tiva2022,avg,realppp,networth,2022,2022,2,F03+F01,1.848128551,0.728041975,4.444829816,2.970054808,-4.139654024,-2.970054808
tiva2022_cons_paper_credit,tiva2022,cons,paper,credit,2022,2022,0,,,,,,,
tiva2022_cons_paper_deposits,tiva2022,cons,paper,deposits,2022,2022,0,,,,,,,
tiva2022_cons_paper_networth,tiva2022,cons,paper,networth,2022,2022,1,F03,2.157943546,0.746007664,6.503118288,4.309319506,-6.097917796,-4.309319506
tiva2022_cons_realppp_credit,tiva2022,cons,realppp,credit,2022,2022,1,F14,-0.573261774,0.673275591,-13.730286636,2.925554151,14.132232031,-2.925554151
tiva2022_cons_realppp_deposits,tiva2022,cons,realppp,deposits,2022,2022,0,,,,,,,
tiva2022_cons_realppp_networth,tiva2022,cons,realppp,networth,2022,2022,1,F03,2.157943546,0.746007664,6.503118288,4.309319506,-6.097917796,-4.309319506
tiva2022_gfcf_paper_credit,tiva2022,gfcf,paper,credit,2022,2022,1,F01,1.838266012,0.694029346,4.890650642,1.729581956,-4.636256608,-1.729581956
tiva2022_gfcf_paper_deposits,tiva2022,gfcf,paper,deposits,2022,2022,1,F01,1.838266012,0.694029346,4.890650642,1.729581956,-4.636256608,-1.729581956
tiva2022_gfcf_paper_networth,tiva2022,gfcf,paper,networth,2022,2022,2,F01+F03,1.998104779,0.720018505,5.696884465,3.019450731,-5.367087202,-3.019450731
tiva2022_gfcf_realppp_credit,tiva2022,gfcf,realppp,credit,2022,2022,2,F01+F14,0.632502119,0.683652469,-4.419817997,2.327568053,4.747987712,-2.327568053
tiva2022_gfcf_realppp_deposits,tiva2022,gfcf,realppp,deposits,2022,2022,1,F01,1.838266012,0.694029346,4.890650642,1.729581956,-4.636256608,-1.729581956
tiva2022_gfcf_realppp_networth,tiva2022,gfcf,realppp,networth,2022,2022,2,F01+F03,1.998104779,0.720018505,5.696884465,3.019450731,-5.367087202,-3.019450731
tiva_cf2024_avg_paper_credit,tiva_cf2024,avg,paper,credit,2024,2024,1,F01,1.514196204,0.710076287,2.045929408,1.630790104,-1.848239836,-1.630790104
tiva_cf2024_avg_paper_deposits,tiva_cf2024,avg,paper,deposits,2024,2024,1,F01,1.514196204,0.710076287,2.045929408,1.630790104,-1.848239836,-1.630790104
tiva_cf2024_avg_paper_networth,tiva_cf2024,avg,paper,networth,2024,2024,2,F03+F01,1.809375197,0.728128233,4.158201784,2.830038170,-3.861520716,-2.830038170
tiva_cf2024_avg_realppp_credit,tiva_cf2024,avg,realppp,credit,2024,2024,2,F14+F01,0.195241590,0.684066678,-8.093533675,2.290481154,8.513767122,-2.290481154
tiva_cf2024_avg_realppp_deposits,tiva_cf2024,avg,realppp,deposits,2024,2024,1,F01,1.514196204,0.710076287,2.045929408,1.630790104,-1.848239836,-1.630790104
tiva_cf2024_avg_realppp_networth,tiva_cf2024,avg,realppp,networth,2024,2024,2,F03+F01,1.809375197,0.728128233,4.158201784,2.830038170,-3.861520716,-2.830038170
tiva_cf2024_cons_paper_credit,tiva_cf2024,cons,paper,credit,2024,2024,0,,,,,,,
tiva_cf2024_cons_paper_deposits,tiva_cf2024,cons,paper,deposits,2024,2024,0,,,,,,,
tiva_cf2024_cons_paper_networth,tiva_cf2024,cons,paper,networth,2024,2024,1,F03,2.104554189,0.746180179,6.270474161,4.029286237,-5.874801595,-4.029286237
tiva_cf2024_cons_realppp_credit,tiva_cf2024,cons,realppp,credit,2024,2024,1,F14,-1.123713024,0.658057070,-18.232996757,2.950172203,18.875774081,-2.950172203
tiva_cf2024_cons_realppp_deposits,tiva_cf2024,cons,realppp,deposits,2024,2024,0,,,,,,,
tiva_cf2024_cons_realppp_networth,tiva_cf2024,cons,realppp,networth,2024,2024,1,F03,2.104554189,0.746180179,6.270474161,4.029286237,-5.874801595,-4.029286237
tiva_cf2024_gfcf_paper_credit,tiva_cf2024,gfcf,paper,credit,2024,2024,1,F01,1.824133163,0.694029346,4.690657560,1.729581960,-4.441347361,-1.729581960
tiva_cf2024_gfcf_paper_deposits,tiva_cf2024,gfcf,paper,deposits,2024,2024,1,F01,1.824133163,0.694029346,4.690657560,1.729581960,-4.441347361,-1.729581960
tiva_cf2024_gfcf_paper_networth,tiva_cf2024,gfcf,paper,networth,2024,2024,2,F01+F03,1.964343676,0.720104763,5.480565861,2.879434098,-5.158074478,-2.879434098
tiva_cf2024_gfcf_realppp_credit,tiva_cf2024,gfcf,realppp,credit,2024,2024,2,F01+F14,0.350210070,0.676043208,-6.771169599,2.339877082,7.217213360,-2.339877082
tiva_cf2024_gfcf_realppp_deposits,tiva_cf2024,gfcf,realppp,deposits,2024,2024,1,F01,1.824133163,0.694029346,4.690657560,1.729581960,-4.441347361,-1.729581960
tiva_cf2024_gfcf_realppp_networth,tiva_cf2024,gfcf,realppp,networth,2024,2024,2,F01+F03,1.964343676,0.720104763,5.480565861,2.879434098,-5.158074478,-2.879434098
