country,year,tiva2022_gfcf_import_content_raw,trade_z,liq_fa_net_worth_raw,liq_z,real_ppp_gdp_pc_2020pps,log_real_ppp_gdp_pc_raw,log_gdp_pc_z
AUT,1995,0.37279,-0.560650587936,-1.01202423144,0.169316841816,28927.481856,10.2725473515,0.162422883158
AUT,1996,0.37457,-0.542999890501,-1.02877357755,0.141022921611,29528.642304,10.2931159968,0.216033541019
AUT,1997,0.38979,-0.392076511309,-1.05021694585,0.104799599952,30128.307328,10.3132204516,0.268434320369
AUT,1998,0.39062,-0.383846129921,-1.07988161714,0.0546883993741,31146.317216,10.3464512898,0.355048050681
AUT,1999,0.39645,-0.32603513776,-1.08170442061,0.0516092191235,32255.174112,10.3814337469,0.44622724655
AUT,2000,0.42445,-0.048383717432,-1.09749311227,0.0249380894414,33204.02064,10.4104262512,0.52179407178
AUT,2001,0.42488,-0.0441197849056,-1.08384110555,0.0479998129483,33512.825696,10.4196835011,0.545922411411
AUT,2002,0.40244,-0.266637566054,-1.0730945555,0.0661534786175,33842.566688,10.4294746586,0.5714423416
AUT,2003,0.39332,-0.357072600103,-1.12113156003,-0.0149932816306,34076.600544,10.4363662267,0.589404705794
AUT,2004,0.40007,-0.29013877556,-1.1409048826,-0.0483954698347,34731.596256,10.4554051066,0.639028142824
AUT,2005,0.39274,-0.362823950953,-1.17201132215,-0.10094218495,35296.492672,10.4715388803,0.681079634699
AUT,2006,0.3995,-0.295790965188,-1.18746928276,-0.127054625467,36262.16272,10.4985301273,0.751430330596
AUT,2007,0.40057,-0.285180714483,-1.18451058474,-0.122056629419,37507.850912,10.5323055477,0.839463474165
AUT,2008,0.40126,-0.278338590196,-1.09763601513,0.0246966900391,37932.177472,10.5435550407,0.868784448397
AUT,2009,0.37702,-0.518705391223,-1.24219340835,-0.219497639815,36484.60704,10.5046457257,0.767370186955
AUT,2010,0.41125,-0.179276529872,-1.26360463131,-0.255666659798,37057.728288,10.5202321997,0.807995182664
AUT,2011,0.42884,-0.00485194117352,-1.20789734138,-0.161562829952,38017.41664,10.5457996663,0.874634899716
AUT,2012,0.42871,-0.00614103705361,-1.24185553907,-0.218926892377,38084.71072,10.5475681871,0.879244418817
AUT,2013,0.43353,0.0416546717314,-1.2958616303,-0.310156963444,37760.951424,10.5390308166,0.856992391696
AUT,2014,0.41609,-0.131282498644,-1.32256360312,-0.355263410201,37749.361888,10.5387238509,0.856192308364
AUT,2015,0.41462,-0.145859198211,-1.30713203063,-0.329195545942,37862.2664,10.5417102856,0.863976230321
AUT,2016,0.41218,-0.170054536268,-1.31471500196,-0.342005119776,38175.931584,10.5499605328,0.885479891379
AUT,2017,0.42901,-0.00316620040724,-1.35461831896,-0.40941200598,38798.027968,10.5661246988,0.927610598505
AUT,2018,0.4444,0.149442919551,-1.31531807043,-0.343023856343,39570.040608,10.5858275606,0.9789646556
AUT,2019,0.44122,0.1179096511,-1.34734581261,-0.397126886724,40083.344896,10.5987161878,1.01255791223
AUT,2020,0.4206,-0.0865607877271,-1.51378123407,-0.678278789818,37385.6,10.5290408825,0.830954365027
AUT,2021,0.44761,0.181273671668,-1.55281655903,-0.744219415948,39074.307552,10.5732204341,0.946105109736
AUT,2022,0.46661,0.369679992604,-1.37766293369,-0.448340241514,40696.468736,10.6138966044,1.05212454927
AUT,2023,,,-1.3739094876,-0.441999713148,40032.50048,10.5974469152,1.00924964681
AUT,2024,,,-1.42806700674,-0.533485584601,39564.058912,10.5856763819,0.978570619405
BEL,1995,0.43427,0.0489926021257,-2.20743559068,-1.85003802675,27707.41743,10.2294554336,0.0501069754393
BEL,1996,0.455,0.25455381439,-2.31639808643,-2.03410349056,28018.958275,10.2406366413,0.0792499691334
BEL,1997,0.46061,0.310183259677,-2.42709656476,-2.22110147201,29013.09264,10.2755024774,0.170125200999
BEL,1998,0.46076,0.311670678,-2.48020848799,-2.31082106513,29519.3017,10.2927996233,0.21520893666
BEL,1999,0.45715,0.275873477022,-2.61743048918,-2.54262404577,30493.359785,10.3252642269,0.299825533014
BEL,2000,0.48997,0.601320606135,-2.47475274635,-2.30160492512,31550.232525,10.359336238,0.388631718334
BEL,2001,0.48948,0.596461706279,-2.44658764318,-2.2540268778,31787.562835,10.3668303864,0.408164663883
BEL,2002,0.47575,0.460313349097,-2.20637395204,-1.84824464815,32185.503385,10.3792714247,0.440591313095
BEL,2003,0.46293,0.333188663075,-2.25399448507,-1.92868788175,32383.75665,10.3854122381,0.45659689052
BEL,2004,0.47375,0.440481104788,-2.31775485252,-2.03639541477,33395.45776,10.4161751745,0.53677821665
BEL,2005,0.48497,0.551739995362,-2.41278961003,-2.19693337417,33983.40596,10.4336276245,0.582266740991
BEL,2006,0.48096,0.511976345522,-2.36663924355,-2.11897362708,34621.54486,10.4522314511,0.630756243738
BEL,2007,0.48795,0.581290039382,-2.29841228175,-2.00372087627,35631.81195,10.4809941119,0.705723999088
BEL,2008,0.49146,0.616095628145,-2.02987464431,-1.55009227273,35509.561745,10.4775572841,0.696766160769
BEL,2009,0.4861,0.562945213396,-2.29064640909,-1.99060233542,34553.42891,10.4502620691,0.625623194879
BEL,2010,0.49499,0.65109953935,-2.34239394961,-2.07801713792,35167.18947,10.4678688096,0.671513865984
BEL,2011,0.50066,0.707323951967,-2.25978955784,-1.93847723863,35382.650975,10.4739768935,0.687434136621
BEL,2012,0.50486,0.748971665016,-2.30782329716,-2.0196184831,35240.32449,10.469946288,0.676928660415
BEL,2013,0.50225,0.723090586192,-2.34245341614,-2.07811759208,35181.52967,10.4682764986,0.672576477364
