Spec ID,State-variable subset (public labels),Output-interaction p-value,Support p-value,Max abs Poland z,stability,Status
F01,investment import content,0.004,0.872,0.161,27/27; 19/19; 3/3,Retained
F03,household net financial worth,0.013,0.441,0.769,27/27; 19/19; 3/3,Retained
F02,public debt,0.120,0.713,0.377,27/27; 19/19; 3/3,Not retained
F04,real PPP income,0.463,0.946,0.068,27/27; 19/19; 3/3,Not retained
F12,investment import content + public debt + real PPP income,0.659,0.977,0.377,27/27; 19/19; 3/3,Not retained
F07,investment import content + real PPP income,0.676,0.986,0.161,27/27; 19/19; 3/3,Not retained
F13,investment import content + household net financial worth + real PPP income,0.690,0.839,0.769,27/27; 19/19; 3/3,Not retained
F06,investment import content + household net financial worth,0.696,0.713,0.769,27/27; 19/19; 3/3,Not retained
F08,public debt + household net financial worth,0.805,0.738,0.769,27/27; 19/19; 3/3,Not retained
F05,investment import content + public debt,0.895,0.903,0.377,27/27; 19/19; 3/3,Not retained
F09,public debt + real PPP income,0.899,0.933,0.377,27/27; 19/19; 3/3,Not retained
F10,household net financial worth + real PPP income,0.906,0.703,0.769,27/27; 19/19; 3/3,Not retained
F11,investment import content + public debt + household net financial worth,0.957,0.871,0.769,27/27; 19/19; 3/3,Not retained
F14,public debt + household net financial worth + real PPP income,0.967,0.871,0.769,27/27; 19/19; 3/3,Not retained
F15,investment import content + public debt + household net financial worth + real PPP income,0.976,0.930,0.769,27/27; 19/19; 3/3,Not retained
